species,genus,target,metabolite_name,gutsmash_class,shap_importance,pathway
Brachyspira aalborgi,Brachyspira,C00086_Urea,Urea,Urea,0.010741988976639326,Other
Alistipes_A indistinctus,Alistipes,C00314_Pyridoxine,Pyridoxine,Vitamin_B6,0.010712260039644669,Other
Egerieicola pullicola,Egerieicola,C00086_Urea,Urea,Urea,0.010576665470526133,Other
Streptococcus parauberis,Streptococcus,C08262_Isovalerate,Isovalerate,BranchedChainAA,0.010538892324719601,Other
Klebsiella ornithinolytica,Klebsiella,C00630_Isobutyryl CoA,Isobutyryl CoA,BranchedChainAA,0.010534732745023832,Other
Alistipes shahii,Alistipes,C00423_trans-Cinnamate,trans-Cinnamate,PhenylamineFerm,0.010427602226194337,Other
UBA1685 sp900546845,UBA1685,C05332_Phenethylamine,Phenethylamine,PhenylamineFerm,0.010070931453553367,Other
Escherichia coli,Escherichia,C00086_Urea,Urea,Urea,0.009764273436994647,Other
CCUG-7971 sp017590215,CCUG-7971,C05332_Phenethylamine,Phenethylamine,PhenylamineFerm,0.009739078619414011,Other
Avispirillum faecium,Avispirillum,C02714_N-Acetylputrescine,N-Acetylputrescine,Putrescine,0.00968267860790063,Other
Alistipes shahii,Alistipes,C08262_Isovalerate,Isovalerate,BranchedChainAA,0.009643721257948911,Other
Aphodousia sp905212345,Aphodousia,C00123_Leu,Leu,BranchedChainAA,0.009546239050680104,Amino Acid
Leptotrichia_A sp001274535,Leptotrichia,C00407_Ile,Ile,BranchedChainAA,0.009545651320814084,Amino Acid
Aphodousia sp905212345,Aphodousia,C00407_Ile,Ile,BranchedChainAA,0.008923535964464897,Amino Acid
UMGS693 sp900544555,UMGS693,C00245_Taurine,Taurine,BileAcid_BSH,0.008845589399749132,Other
Pauljensenia turicensis,Pauljensenia,C01551_Allantoin,Allantoin,Purine_Catabolism,0.008828445234102377,Other
UMGS693 sp900544555,UMGS693,C00086_Urea,Urea,Urea,0.008704835098049967,Other
CCUG-7971 sp017590215,CCUG-7971,C00407_Ile,Ile,BranchedChainAA,0.008686336020807279,Amino Acid
Alistipes_A indistinctus,Alistipes,C02679_Dodecanoate,Dodecanoate,MCFA,0.008670572224715149,Other
CAG-83 sp000435555,CAG-83,C17714_Heptanoate,Heptanoate,MCFA,0.008498554388425285,Other
Leptotrichia wadei,Leptotrichia,C03264_2-Hydroxy-4-methylpentanoate,2-Hydroxy-4-methylpentanoate,BranchedChainAA,0.008433535081786944,Other
Lachnospira sp000436475,Lachnospira,C02714_N-Acetylputrescine,N-Acetylputrescine,Putrescine,0.008352913854487444,Other
UBA5905 sp900763035,UBA5905,C00423_trans-Cinnamate,trans-Cinnamate,PhenylamineFerm,0.008210775939592022,Other
UBA1829 sp900548385,UBA1829,C00186_Lactate,Lactate,SCFA_Lactate,0.008120837474679036,Other
Alistipes shahii,Alistipes,C03264_2-Hydroxy-4-methylpentanoate,2-Hydroxy-4-methylpentanoate,BranchedChainAA,0.007994859658189656,Other
Bifidobacterium longum,Bifidobacterium,C00407_Ile,Ile,BranchedChainAA,0.007934311226318512,Amino Acid
Scatavimonas merdipullorum,Scatavimonas,C00245_Taurine,Taurine,BileAcid_BSH,0.007889836634181692,Other
Leptotrichia_A sp001274535,Leptotrichia,C00123_Leu,Leu,BranchedChainAA,0.00787620532351455,Amino Acid
Escherichia coli,Escherichia,C00123_Leu,Leu,BranchedChainAA,0.007874449752669089,Amino Acid
Scatavimonas merdipullorum,Scatavimonas,C01551_Allantoin,Allantoin,Purine_Catabolism,0.007793324766489304,Other
Alistipes onderdonkii,Alistipes,C02679_Dodecanoate,Dodecanoate,MCFA,0.007723151862322573,Other
Lachnospira sp000436475,Lachnospira,C02679_Dodecanoate,Dodecanoate,MCFA,0.007712004226794719,Other
Klebsiella ornithinolytica,Klebsiella,C08262_Isovalerate,Isovalerate,BranchedChainAA,0.007684959343999247,Other
Alistipes onderdonkii,Alistipes,_DCA,DCA,Secondary_BA,0.007682797185158361,Other
Avispirillum faecium,Avispirillum,C00423_trans-Cinnamate,trans-Cinnamate,PhenylamineFerm,0.0075749358397550984,Other
Erysipelatoclostridium ramosum,Erysipelatoclostridium,C00630_Isobutyryl CoA,Isobutyryl CoA,BranchedChainAA,0.0073059120789688015,Other
Bilophila wadsworthia,Bilophila,C08262_Isovalerate,Isovalerate,BranchedChainAA,0.007238633366835938,Other
Leptotrichia_A sp001274535,Leptotrichia,C00186_Lactate,Lactate,SCFA_Lactate,0.007121188743170277,Other
Pauljensenia turicensis,Pauljensenia,C00086_Urea,Urea,Urea,0.006866233684213344,Other
UBA1829 sp900548385,UBA1829,C00423_trans-Cinnamate,trans-Cinnamate,PhenylamineFerm,0.0067205669149596504,Other
Aphodousia sp900553105,Aphodousia,C08262_Isovalerate,Isovalerate,BranchedChainAA,0.0066350452168774665,Other
Bifidobacterium longum,Bifidobacterium,C00123_Leu,Leu,BranchedChainAA,0.0065976308614772595,Amino Acid
Alangreenwoodia gallinarii,Alangreenwoodia,C00334_GABA,GABA,GABA,0.006588630617376872,Other
Escherichia coli,Escherichia,C05332_Phenethylamine,Phenethylamine,PhenylamineFerm,0.0065233594593458255,Other
Fusobacterium sp000235465,Fusobacterium,C00245_Taurine,Taurine,BileAcid_BSH,0.006357642527009843,Other
Alangreenwoodia gallinarii,Alangreenwoodia,C17714_Heptanoate,Heptanoate,MCFA,0.006324957457454885,Other
Intestinibacter sp900540355,Intestinibacter,C00255_Riboflavin,Riboflavin,Vitamin_Riboflavin,0.006257396368907887,Other
Clostridium saudiense,Clostridium,C00086_Urea,Urea,Urea,0.006196241355780393,Other
Avispirillum faecium,Avispirillum,C00334_GABA,GABA,GABA,0.006192943139966952,Other
Alangreenwoodia gallinarii,Alangreenwoodia,C02679_Dodecanoate,Dodecanoate,MCFA,0.006004859160244232,Other
UBA5905 sp900763035,UBA5905,C17714_Heptanoate,Heptanoate,MCFA,0.005954877300379731,Other
Escherichia coli,Escherichia,C00407_Ile,Ile,BranchedChainAA,0.005951437746240212,Amino Acid
Veillonella parvula_A,Veillonella,_DCA,DCA,Secondary_BA,0.005930395185369494,Other
Fusobacterium_A ulcerans_A,Fusobacterium,C01104_Trimethylamine N-oxide,Trimethylamine N-oxide,TMAO_Choline,0.005755686625185651,Other
Aphodousia sp905212345,Aphodousia,C03264_2-Hydroxy-4-methylpentanoate,2-Hydroxy-4-methylpentanoate,BranchedChainAA,0.005712158809618954,Other
Alistipes avistercoris,Alistipes,C17714_Heptanoate,Heptanoate,MCFA,0.005625328198997854,Other
UBA5905 sp900763035,UBA5905,C00314_Pyridoxine,Pyridoxine,Vitamin_B6,0.0056167156040113474,Other
Spyradocola merdavium,Spyradocola,C17714_Heptanoate,Heptanoate,MCFA,0.0055360981624326365,Other
Intestinibacter sp900540355,Intestinibacter,C00630_Isobutyryl CoA,Isobutyryl CoA,BranchedChainAA,0.005422933565909853,Other
Neisseria subflava,Neisseria,C00255_Riboflavin,Riboflavin,Vitamin_Riboflavin,0.004803566979668601,Other
UBA1685 sp900546845,UBA1685,C00314_Pyridoxine,Pyridoxine,Vitamin_B6,0.0047629558427333876,Other
Klebsiella ornithinolytica,Klebsiella,_DCA,DCA,Secondary_BA,0.004651707689507214,Other
Avispirillum faecium,Avispirillum,_DCA,DCA,Secondary_BA,0.004618292300751156,Other
CAG-170 sp000432135,CAG-170,C00314_Pyridoxine,Pyridoxine,Vitamin_B6,0.004268783039489091,Other
Lachnospira sp000436475,Lachnospira,C00186_Lactate,Lactate,SCFA_Lactate,0.004080818601355195,Other
