Feature,MeanGroup1,MeanGroup2,Log2FC,Statistic,PValue,CliffsD,QValue,Significant
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp000431015,-1.1503486574719208,-0.9395391104296038,0.2920460683452615,800.0,0.03256629054643468,-0.2592592592592593,0.8980403819635033,False
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Acidaminococcus;s__Acidaminococcus intestini,-0.6990689813693317,-0.529292360273445,0.4013699916672708,811.0,0.04004631942893703,-0.24907407407407411,0.8980403819635033,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp000177015,-0.7633387228189816,-0.2016186507466286,1.9206942774607485,779.0,0.021562874280367784,-0.2787037037037037,0.8980403819635033,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira rogosae_A,-0.007479876325986259,0.9602635662778123,,815.0,0.04310593833424816,-0.24537037037037035,0.8980403819635033,False
d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__UBA5633;g__MWCK01;s__MWCK01 sp002070005,-1.0170553232281219,-0.7296979528280454,0.4790268461084335,819.0,0.04636082315163691,-0.2416666666666667,0.9219553947226679,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium saudiense,-0.7986337844414577,-0.4927615183912361,0.6966445084817445,825.0,0.0516295021044694,-0.23611111111111116,0.9219553947226679,False
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera sp000417505,-0.9452536261701829,-0.2778971780058955,1.7661502947250705,823.0,0.049820197713659184,-0.23796296296296293,0.9219553947226679,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis,0.21949358735915064,0.9645457859513964,-2.13567093142575,823.0,0.049820197713659184,-0.23796296296296293,0.9219553947226679,False
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__Sutterella wadsworthensis_A,-0.010468441943272155,0.32024010852623963,,838.0,0.06477661648152543,-0.2240740740740741,0.9253802354503632,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster asparagiformis,-0.4031556277607037,-0.07635309928154929,2.40057823838027,836.0,0.0625902587726964,-0.22592592592592597,0.9253802354503632,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster sp900538485,-0.4164235893145584,-0.3586882905594634,0.21532114689616547,835.0,0.061520177727812105,-0.22685185185185186,0.9253802354503632,False
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister sp000434475,-1.0370473000127152,-0.9107860020833698,0.18729767348516688,831.0,0.057390220800143804,-0.2305555555555555,0.9253802354503632,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp900316325,-0.3496237315133349,-0.21531946750843806,0.699324352011245,836.0,0.0625902587726964,-0.22592592592592597,0.9253802354503632,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83;s__CAG-83 sp001916855,0.45083484909527727,-0.21670045330855542,,1322.0,0.06477661648152543,0.2240740740740741,0.9253802354503632,False
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera elsdenii,-0.8409257584456463,-0.5825889260477335,0.5295001583808171,831.0,0.057390220800143804,-0.2305555555555555,0.9253802354503632,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyribacter;s__Butyribacter sp003529475,-0.5839021518828843,-0.5230637975561034,0.15873970676094634,845.0,0.07293035010116154,-0.21759259259259256,0.93500448847643,False
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella lascolaii,-0.2883888439467067,0.14643433535370726,,842.0,0.06933848775537028,-0.22037037037037033,0.93500448847643,False
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella_A;s__Veillonella_A sp000431435,-1.003009722425312,-0.8723435164699218,0.20136732565499812,843.0,0.07051927834000007,-0.21944444444444444,0.93500448847643,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp000436475,-0.2128208870373877,-0.11748739020584327,0.8571338276166142,844.0,0.07171651311446248,-0.21851851851851856,0.93500448847643,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-127;s__CAG-127 sp900767585,-0.8342814798897976,-0.8637780385561813,-0.05012641712963956,1013.0,0.6110759495417315,-0.062037037037037,0.979955187238877,False
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola sp900546645,-0.2872491061428277,-0.2571606152117479,0.1596326963341145,1019.0,0.6436116331548654,-0.056481481481481466,0.979955187238877,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes hadrus_A,-0.47089297097814425,-0.5248031008677515,-0.15637705668326773,1068.0,0.9299222199654255,-0.011111111111111072,0.979955187238877,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp900754605,0.5682853411609184,0.5997797481512812,-0.07781730797387401,1062.0,0.8935402898587461,-0.01666666666666672,0.979955187238877,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ventrisoma;s__Ventrisoma faecale,-0.6017832257556945,-0.653957669032908,-0.11995335926359527,1145.0,0.6218403133185814,0.06018518518518512,0.979955187238877,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus_A;s__Coprococcus_A sp900548825,-0.2648545701521841,-0.237518892557038,0.15715813126760772,1059.0,0.87542815185372,-0.019444444444444486,0.979955187238877,False
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides faecavium,-0.9680889412501688,-0.893983766860935,0.11489096344843672,855.0,0.08601674297148458,-0.20833333333333337,0.979955187238877,False
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella africana,-0.9000345023550472,-0.9907936615488317,-0.13860433173999492,975.0,0.42421418184519744,-0.09722222222222221,0.979955187238877,False
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides zhangwenhongi,0.12137369979922068,0.11950699668864014,0.02236075592713569,1014.0,0.6164478235130606,-0.061111111111111116,0.979955187238877,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger sp900554145,-0.2750551778758901,-0.21860544212294925,0.331391744952984,1005.0,0.5688705132673253,-0.06944444444444442,0.979955187238877,False
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella oxytoca,-0.942623279221977,-1.0772639577264014,-0.19261857507082075,958.0,0.3528197901108834,-0.11296296296296293,0.979955187238877,False
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola sp900552075,-0.6943631298442347,-0.6776666483769983,0.03511457339671047,1087.0,0.9603560834940994,0.0064814814814815325,0.979955187238877,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__UBA1750;g__Spyradocola;s__Spyradocola merdavium,-0.7552203877380308,-0.752195257901896,0.0057905006954079505,1040.0,0.7626032373538998,-0.03703703703703709,0.979955187238877,False
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pasteurianus,-0.7557185273927538,-0.8424063840008504,-0.1566673768725469,954.0,0.33719490284552955,-0.1166666666666667,0.979955187238877,False
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola mediterraneensis,-0.43112299328656783,-0.42799003385257867,0.010522305991008661,1156.0,0.5636943104750998,0.07037037037037042,0.979955187238877,False
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola plebeius_A,1.640120130929484,0.9721645293534404,0.75452908748717,1254.0,0.18457893332003739,0.1611111111111112,0.979955187238877,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp002431915,-0.514843770904601,-0.5470501658207364,-0.08753842413162019,1001.0,0.5483033178395779,-0.07314814814814818,0.979955187238877,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_G;s__Eubacterium_G ventriosum,0.44362460130995807,0.3588875267637344,0.3058075898889106,1111.0,0.8155755674111097,0.028703703703703676,0.979955187238877,False
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900551275,0.7305028196566125,0.5927628013362145,0.30143492706937913,1237.0,0.2313902057944187,0.14537037037037037,0.979955187238877,False
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp015074785,0.3830193935355904,0.33279318875475905,0.20279153606796835,1223.0,0.2758344165194593,0.1324074074074073,0.979955187238877,False
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella copri,0.36616145121302984,0.28715550192111994,0.3506477106736944,1240.0,0.22256838835332426,0.14814814814814814,0.979955187238877,False
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Megamonas;s__Megamonas funiformis,0.14659744383884007,-0.3081852474388443,,1136.0,0.671260188062474,0.051851851851851816,0.979955187238877,False
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella copri_A,0.47792447877409033,0.3470071271301828,0.4618173682233906,1197.0,0.37298401862255803,0.10833333333333339,0.979955187238877,False
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli,0.8648851751325471,0.4659933669012231,0.8921991893605615,1215.0,0.3036924969368996,0.125,0.979955187238877,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Fimenecus;s__Fimenecus sp000432435,0.5045943228776273,-0.2619911023135492,,1256.0,0.17956939550836826,0.16296296296296298,0.979955187238877,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis,1.7739165262134977,2.2202906131564397,-0.3238103993520468,924.0,0.23438528039251916,-0.1444444444444445,0.979955187238877,False
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides stercoris,2.483472692780374,2.9488630099667916,-0.24779991965908393,956.0,0.3449509253549905,-0.11481481481481481,0.979955187238877,False
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__Sutterella wadsworthensis,0.4439141525098652,0.9306907930098518,-1.0680212308572237,897.0,0.16283125204693505,-0.1694444444444444,0.979955187238877,False
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis,1.1420084903629975,1.5484703923106395,-0.4392704214580498,961.0,0.36483415790048845,-0.11018518518518516,0.979955187238877,False
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp000434975,0.5428067041858371,0.031072660156259757,4.126720872982488,1230.0,0.2529327020737735,0.13888888888888884,0.979955187238877,False
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A succinatutens,0.655930611624722,0.811181116736916,-0.3064808628287322,994.0,0.5132182167341814,-0.0796296296296296,0.979955187238877,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ruminococcus_B;s__Ruminococcus_B gnavus,1.8638403510223105,1.6152673790233991,0.20650529248399332,1132.0,0.6937063005362003,0.04814814814814805,0.979955187238877,False
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__Odoribacter splanchnicus,1.4104076104907142,1.6406193009360734,-0.2181283416275873,1007.0,0.579290513325541,-0.06759259259259254,0.979955187238877,False
d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__Bilophila wadsworthia,1.3109617777758713,1.155884896762163,0.18162788199214658,1109.0,0.8274720060191043,0.026851851851851904,0.979955187238877,False
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister invisus,-0.6395543527982989,-0.18955661932536247,1.7544381365418953,890.0,0.14729773020078216,-0.17592592592592593,0.979955187238877,False
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900556795,-0.007044915320178648,-0.11421365591061808,-4.019008999808889,1200.0,0.3608012716580248,0.11111111111111116,0.979955187238877,False
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900557035,-0.21417881476769274,-0.2897844078849932,-0.43616418688176173,1187.0,0.4154010318249076,0.09907407407407409,0.979955187238877,False
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides eggerthii,1.2101392642939925,1.4505548546440454,-0.26143176981391353,1037.0,0.745176816000533,-0.03981481481481486,0.979955187238877,False
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola dorei,3.679022673247119,3.850893937820351,-0.06587082120732043,975.0,0.42421418184519744,-0.09722222222222221,0.979955187238877,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__Ruminiclostridium_E siraeum,-0.025153113178976724,-0.4675227544384136,-4.216227711123729,1110.0,0.8215186559674221,0.02777777777777768,0.979955187238877,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__Clostridium_Q fessum,1.1812415432899361,1.4786492018750295,-0.3239758238584705,948.0,0.3146053129175418,-0.12222222222222223,0.979955187238877,False
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides cellulosilyticus,0.8726248549514921,0.47337789076878495,0.8823692401881835,1107.0,0.8394081648117079,0.02499999999999991,0.979955187238877,False
