metabolite,species_degree,name,pathway
C00134_Putrescine,253,C00134,Polyamine
C08277_Sebacate,239,C08277,Other
C00431_5-Aminovalerate,227,C00431,Other
C01672_Cadaverine,227,C01672,Polyamine
C02678_Dodecanedioate,223,C02678,Other
C02656_Pimelate,220,C02656,Other
C02714_N-Acetylputrescine,217,C02714,Other
C00695_Cholate,209,C00695,Bile Acid
C06104_Adipate,198,C06104,Other
C05629_3-Phenylpropionate,195,C05629,Other
