Metabolite,Rho_stage,P_stage,Rho_Factor3,P_Factor3,Rho_OralInvasion,P_OralInvasion
C06103_6-Hydroxyhexanoate,-0.03181894302937823,0.554699920034007,,,-0.22111256655811104,3.244959310203072e-05
C06104_Adipate,0.017394297399191263,0.7467898111008163,,,-0.32295761569738896,7.266460859333214e-10
C08277_Sebacate,-0.09242401486700633,0.08558929541700458,,,-0.4008290738017964,7.987031346930385e-15
C02656_Pimelate,-0.03292349950754868,0.5410343367854836,,,-0.27841402454404707,1.3482131685763994e-07
