epithet,taxon_full,mean_flux,pathway,genus_micom,genus_shap,species,mean_shap,model,metabolite,kegg_id,display_species,genus_confirmed
desulfuricans_A,,,,,Desulfovibrio,Desulfovibrio desulfuricans_A,0.0216158864956854,LightGBM,Glucose-6-Phosphate,C00092,Desulfovibrio desulfuricans_A,False
fergusonii,Escherichia fergusonii,31.861530819898476,Other,Escherichia,,,,,Glucose-6-Phosphate,C00092,Escherichia fergusonii,False
freundii,Citrobacter freundii,24.25778212974919,Other,Citrobacter,,,,,Glucose-6-Phosphate,C00092,Citrobacter freundii,False
hormaechei,Enterobacter hormaechei,38.305777447519965,Other,Enterobacter,,,,,Glucose-6-Phosphate,C00092,Enterobacter hormaechei,False
hydrophila,Aeromonas hydrophila,43.73076408403587,Other,Aeromonas,,,,,Glucose-6-Phosphate,C00092,Aeromonas hydrophila,False
indistinctus,,,,,Alistipes_A,Alistipes_A indistinctus,0.0277256207049428,LightGBM,Glucose-6-Phosphate,C00092,Alistipes_A indistinctus,False
maltaromaticum,,,,,Carnobacterium,Carnobacterium maltaromaticum,0.016111864165001,LightGBM,Glucose-6-Phosphate,C00092,Carnobacterium maltaromaticum,False
massiliensis,,,,,Megasphaera,Megasphaera massiliensis,0.0174868250440423,LightGBM,Glucose-6-Phosphate,C00092,Megasphaera massiliensis,False
media,Aeromonas media,26.79456906729633,Other,Aeromonas,,,,,Glucose-6-Phosphate,C00092,Aeromonas media,False
oxytoca,Klebsiella oxytoca,43.42542410393152,Other,Klebsiella,,,,,Glucose-6-Phosphate,C00092,Klebsiella oxytoca,False
provencensis,,,,,Acidaminococcus,Acidaminococcus provencensis,0.0188873449848266,LightGBM,Glucose-6-Phosphate,C00092,Acidaminococcus provencensis,False
sp000186165,,,,,Neisseria,Neisseria sp000186165,0.0187696357248922,LightGBM,Glucose-6-Phosphate,C00092,Neisseria sp000186165,False
sp000435795,,,,,Copromonas,Copromonas sp000435795,0.0182263941210277,LightGBM,Glucose-6-Phosphate,C00092,Copromonas sp000435795,False
sp001657575,,,,,Barb7,Barb7 sp001657575,0.0203669158955762,LightGBM,Glucose-6-Phosphate,C00092,Barb7 sp001657575,False
sp002438575,,,,,CAG-83,CAG-83 sp002438575,0.026718445772191,LightGBM,Glucose-6-Phosphate,C00092,CAG-83 sp002438575,False
sp003150615,,,,,Merdimorpha,Merdimorpha sp003150615,0.0167425527378918,LightGBM,Glucose-6-Phosphate,C00092,Merdimorpha sp003150615,False
sp016292635,,,,,SFEL01,SFEL01 sp016292635,0.0186011192114546,LightGBM,Glucose-6-Phosphate,C00092,SFEL01 sp016292635,False
sp016292785,,,,,CAG-488,CAG-488 sp016292785,0.0137960124166413,LightGBM,Glucose-6-Phosphate,C00092,CAG-488 sp016292785,False
sp017460955,,,,,UBA3855,UBA3855 sp017460955,0.0156563608255737,LightGBM,Glucose-6-Phosphate,C00092,UBA3855 sp017460955,False
sp018065665,,,,,Sodaliphilus,Sodaliphilus sp018065665,0.0192132337151713,LightGBM,Glucose-6-Phosphate,C00092,Sodaliphilus sp018065665,False
sp900548415,,,,,Porphyromonas,Porphyromonas sp900548415,0.0287782438567826,LightGBM,Glucose-6-Phosphate,C00092,Porphyromonas sp900548415,False
sp900761895,,,,,HGM11417,HGM11417 sp900761895,0.0158815817022619,LightGBM,Glucose-6-Phosphate,C00092,HGM11417 sp900761895,False
sp905212345,,,,,Aphodousia,Aphodousia sp905212345,0.0185020406043088,LightGBM,Glucose-6-Phosphate,C00092,Aphodousia sp905212345,False
subflava,,,,,Neisseria,Neisseria subflava,0.0367556377236972,LightGBM,Glucose-6-Phosphate,C00092,Neisseria subflava,False
veronii,Aeromonas veronii,26.000678670677683,Other,Aeromonas,,,,,Glucose-6-Phosphate,C00092,Aeromonas veronii,False
vulgaris_A,,,,,Cupidesulfovibrio,Cupidesulfovibrio vulgaris_A,0.016539412712742,LightGBM,Glucose-6-Phosphate,C00092,Cupidesulfovibrio vulgaris_A,False
faecalis,,,,,Aphodousia,Aphodousia faecalis,0.0059781926723343,RF,Pyridoxine,C00314,Aphodousia faecalis,False
gallinarii,,,,,Alangreenwoodia,Alangreenwoodia gallinarii,0.0112090861929669,RF,Pyridoxine,C00314,Alangreenwoodia gallinarii,False
indistinctus,,,,,Alistipes_A,Alistipes_A indistinctus,0.0107122600396446,RF,Pyridoxine,C00314,Alistipes_A indistinctus,False
medium,Treponema medium,0.4492597203680126,Other,Treponema,,,,,Pyridoxine,C00314,Treponema medium,False
merdae,Parabacteroides merdae,15.106877676088857,Other,Parabacteroides,,,,,Pyridoxine,C00314,Parabacteroides merdae,False
merdavium,,,,,Spyradocola,Spyradocola merdavium,0.0228178166316766,RF,Pyridoxine,C00314,Spyradocola merdavium,False
merdipullorum,,,,,Scatavimonas,Scatavimonas merdipullorum,0.0845771151504781,RF,Pyridoxine,C00314,Scatavimonas merdipullorum,False
putredinis,,,,,Alistipes,Alistipes putredinis,0.0038611739325512,RF,Pyridoxine,C00314,Alistipes putredinis,False
sp000432135,,,,,CAG-170,CAG-170 sp000432135,0.004268783039489,RF,Pyridoxine,C00314,CAG-170 sp000432135,False
sp000432155,,,,,CAG-274,CAG-274 sp000432155,0.0054147002138759,RF,Pyridoxine,C00314,CAG-274 sp000432155,False
sp000434475,,,,,Dialister,Dialister sp000434475,0.0081577606164388,RF,Pyridoxine,C00314,Dialister sp000434475,False
sp900539195,,,,,Ruminiclostridium_E,Ruminiclostridium_E sp900539195,0.0036180995337718,RF,Pyridoxine,C00314,Ruminiclostridium_E sp900539195,False
sp900544375,,,,,Fimivicinus,Fimivicinus sp900544375,0.0037083335336957,RF,Pyridoxine,C00314,Fimivicinus sp900544375,False
sp900544555,,,,,UMGS693,UMGS693 sp900544555,0.0259145831703941,RF,Pyridoxine,C00314,UMGS693 sp900544555,False
sp900546845,,,,,UBA1685,UBA1685 sp900546845,0.0047629558427333,RF,Pyridoxine,C00314,UBA1685 sp900546845,False
sp900554485,,,,,UBA10281,UBA10281 sp900554485,0.0066739960237403,RF,Pyridoxine,C00314,UBA10281 sp900554485,False
sp900555035,,,,,Prevotella,Prevotella sp900555035,0.0035097694645196,RF,Pyridoxine,C00314,Prevotella sp900555035,False
sp900557255,,,,,Prevotella,Prevotella sp900557255,0.0062228480225127,RF,Pyridoxine,C00314,Prevotella sp900557255,False
sp900763035,,,,,UBA5905,UBA5905 sp900763035,0.0056167156040113,RF,Pyridoxine,C00314,UBA5905 sp900763035,False
sp905207485,,,,,CAG-266,CAG-266 sp905207485,0.0036002355678976,RF,Pyridoxine,C00314,CAG-266 sp905207485,False
succinatiphilus,,,,,Dialister,Dialister succinatiphilus,0.0054490503957478,RF,Pyridoxine,C00314,Dialister succinatiphilus,False
tenue,,,,,Paraclostridium,Paraclostridium tenue,0.0045989518712342,RF,Pyridoxine,C00314,Paraclostridium tenue,False
adolescentis,Bifidobacterium adolescentis,0.08769331716530478,Other,Bifidobacterium,,,,,Glucuronate,C00191,Bifidobacterium adolescentis,False
amylolyticus,,,,,Lactobacillus,Lactobacillus amylolyticus,0.0253251442029713,LightGBM,Glucuronate,C00191,Lactobacillus amylolyticus,False
cellulosilyticus,Bacteroides cellulosilyticus,0.21620770287066954,Other,Bacteroides,,,,,Glucuronate,C00191,Bacteroides cellulosilyticus,False
flavescens_C,,,,,Neisseria,Neisseria flavescens_C,0.0350478232192139,LightGBM,Glucuronate,C00191,Neisseria flavescens_C,False
forsythia_A,,,,,Tannerella,Tannerella forsythia_A,0.0243784293042389,LightGBM,Glucuronate,C00191,Tannerella forsythia_A,False
ihumii,,,,,Alistipes_A,Alistipes_A ihumii,0.0274448558233088,LightGBM,Glucuronate,C00191,Alistipes_A ihumii,False
longum,Bifidobacterium longum,0.11418903218563362,Other,Bifidobacterium,,,,,Glucuronate,C00191,Bifidobacterium longum,False
merdae,Parabacteroides merdae,0.012453303408221927,Other,Parabacteroides,,,,,Glucuronate,C00191,Parabacteroides merdae,False
merdipullorum,,,,,Scatavimonas,Scatavimonas merdipullorum,0.0395631087355626,LightGBM,Glucuronate,C00191,Scatavimonas merdipullorum,False
ovatus,Bacteroides ovatus,0.04520794876329369,Other,Bacteroides,,,,,Glucuronate,C00191,Bacteroides ovatus,False
parauberis,,,,,Streptococcus,Streptococcus parauberis,0.0367043692912096,LightGBM,Glucuronate,C00191,Streptococcus parauberis,False
ramosum,,,,,Erysipelatoclostridium,Erysipelatoclostridium ramosum,0.0567879583749478,LightGBM,Glucuronate,C00191,Erysipelatoclostridium ramosum,False
silvanus,,,,,Meiothermus_B,Meiothermus_B silvanus,0.0548853612966704,LightGBM,Glucuronate,C00191,Meiothermus_B silvanus,False
sp000431015,,,,,Cryptobacteroides,Cryptobacteroides sp000431015,0.0245663503382232,LightGBM,Glucuronate,C00191,Cryptobacteroides sp000431015,False
sp000437595,,,,,UBA11524,UBA11524 sp000437595,0.0191551883217449,LightGBM,Glucuronate,C00191,UBA11524 sp000437595,False
sp001274535,,,,,Leptotrichia_A,Leptotrichia_A sp001274535,0.0203466037586967,LightGBM,Glucuronate,C00191,Leptotrichia_A sp001274535,False
sp900319515,,,,,CAG-127,CAG-127 sp900319515,0.0280794912660736,LightGBM,Glucuronate,C00191,CAG-127 sp900319515,False
sp900539465,,,,,CAG-488,CAG-488 sp900539465,0.0280558356889028,LightGBM,Glucuronate,C00191,CAG-488 sp900539465,False
sp900540355,,,,,Intestinibacter,Intestinibacter sp900540355,0.0345087151753448,LightGBM,Glucuronate,C00191,Intestinibacter sp900540355,False
sp900757655,,,,,CAG-103,CAG-103 sp900757655,0.0465999224324809,LightGBM,Glucuronate,C00191,CAG-103 sp900757655,False
sp900763035,,,,,UBA5905,UBA5905 sp900763035,0.0354098777497658,LightGBM,Glucuronate,C00191,UBA5905 sp900763035,False
sp902766775,,,,,Ruminococcus_E,Ruminococcus_E sp902766775,0.0303247927920302,LightGBM,Glucuronate,C00191,Ruminococcus_E sp902766775,False
spG000499525,,,,,CCUG-7971,CCUG-7971 spG000499525,0.03178408087418,LightGBM,Glucuronate,C00191,CCUG-7971 spG000499525,False
thetaiotaomicron,Bacteroides thetaiotaomicron,0.05580763116894603,Other,Bacteroides,,,,,Glucuronate,C00191,Bacteroides thetaiotaomicron,False
turicensis,,,,,Pauljensenia,Pauljensenia turicensis,0.0289667349737437,LightGBM,Glucuronate,C00191,Pauljensenia turicensis,False
uniformis,Bacteroides uniformis,0.0037674938637197795,Other,Bacteroides,,,,,Glucuronate,C00191,Bacteroides uniformis,False
wadei,,,,,Leptotrichia,Leptotrichia wadei,0.0409421836938129,LightGBM,Glucuronate,C00191,Leptotrichia wadei,False
