epithet,taxon_full,mean_flux,pathway,genus_micom,genus_shap,species,mean_shap,model,metabolite,kegg_id,display_species,genus_confirmed
sp000235465,,,,,Fusobacterium,Fusobacterium sp000235465,0.0060361823267351,SVR,Isoleucine,C00407,Fusobacterium sp000235465,True
sp000432175,,,,,CAG-115,CAG-115 sp000432175,0.0078080823664354,SVR,Isoleucine,C00407,CAG-115 sp000432175,False
sp000436475,,,,,Lachnospira,Lachnospira sp000436475,0.0074037705140867,SVR,Isoleucine,C00407,Lachnospira sp000436475,False
sp000436835,,,,,Eubacterium_R,Eubacterium_R sp000436835,0.0045671716779725,SVR,Isoleucine,C00407,Eubacterium_R sp000436835,False
sp001274535,,,,,Leptotrichia_A,Leptotrichia_A sp001274535,0.009545651320814,SVR,Isoleucine,C00407,Leptotrichia_A sp001274535,False
sp005843885,,,,,Escherichia,Escherichia sp005843885,0.004921900678952,SVR,Isoleucine,C00407,Escherichia sp005843885,True
sp013333035,,,,,CAG-793,CAG-793 sp013333035,0.0046664335039683,SVR,Isoleucine,C00407,CAG-793 sp013333035,False
sp017590215,,,,,CCUG-7971,CCUG-7971 sp017590215,0.0086863360208072,SVR,Isoleucine,C00407,CCUG-7971 sp017590215,False
sp900540255,,,,,Clostridium,Clostridium sp900540255,0.0054713358316847,SVR,Isoleucine,C00407,Clostridium sp900540255,False
sp900541605,,,,,Dialister,Dialister sp900541605,0.0079537428907459,SVR,Isoleucine,C00407,Dialister sp900541605,False
sp905212345,,,,,Aphodousia,Aphodousia sp905212345,0.0089235359644648,SVR,Isoleucine,C00407,Aphodousia sp905212345,False
sp905213155,,,,,Acidaminococcus,Acidaminococcus sp905213155,0.0060001738519559,SVR,Isoleucine,C00407,Acidaminococcus sp905213155,False
curtum,,,,,Cryptobacterium,Cryptobacterium curtum,0.0060291032277704,SVR,Fumarate,C00122,Cryptobacterium curtum,False
edinburgensis,,,,,Gallispira,Gallispira edinburgensis,0.0055896850521319,SVR,Fumarate,C00122,Gallispira edinburgensis,False
evryensis,Cloacibacillus evryensis,75.42325638912743,Other,Cloacibacillus,,,,,Fumarate,C00122,Cloacibacillus evryensis,False
excrementihominis,Parasutterella excrementihominis,71.74632612535589,Other,Parasutterella,,,,,Fumarate,C00122,Parasutterella excrementihominis,False
goldsteinii,Parabacteroides goldsteinii,80.78480309205185,Other,Parabacteroides,,,,,Fumarate,C00122,Parabacteroides goldsteinii,False
hansenii,Blautia hansenii,80.0973424934619,Other,Blautia,,,,,Fumarate,C00122,Blautia hansenii,False
hydrophila,Aeromonas hydrophila,83.38751183888567,Other,Aeromonas,,,,,Fumarate,C00122,Aeromonas hydrophila,False
hypermegale,Megamonas hypermegale,93.98542203459363,Other,Megamonas,,,,,Fumarate,C00122,Megamonas hypermegale,False
isourolithinifaciens,,,,,Ellagibacter,Ellagibacter isourolithinifaciens,0.0064490471639442,SVR,Fumarate,C00122,Ellagibacter isourolithinifaciens,False
merdigallinarum,,,,,Flemingibacterium,Flemingibacterium merdigallinarum,0.0047200684842102,SVR,Fumarate,C00122,Flemingibacterium merdigallinarum,False
