,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10
Polyamine_biosyn,0.2148496265435272,0.6706810676552746,-0.16816799825837112,-0.035263964193212816,0.13837477073626903,0.003915505724341274,0.14946645382644255,0.09725578566016753,-0.23891391746448246,0.13702518066814906
Purine_catabolism,0.04514851234907941,0.5406482512770701,0.25796556836439105,0.05863924328751984,0.36955389140897893,-0.14613254416252752,-0.06412003223621818,-0.2738823446966194,-0.20843282694745646,0.1070906468439582
FA_betaox_peroxisomal,0.31494618584995454,-0.15822141318939237,-0.39549163966433437,0.35997521969970686,-0.09984036983190869,0.2647568871025832,-0.21287995455221698,0.4413788508121379,0.02811248670945299,0.08427025347248748
SCFA_butyrate,0.47402434029774276,0.7986454125138793,0.2848680480602263,0.014927919425538184,-0.048578923877835536,-0.024948029724872034,-0.14023673975342624,-0.0689701125682765,-0.33762670895899183,0.1861090160888139
BileAcid_deconjugation,-0.540571279551542,0.16725151775031177,-0.1621553002213224,0.12056385809860307,-0.05101071343024494,0.013275612198065482,-0.3174986027334153,0.2185336426754223,0.013463733392919404,-0.030953260355712768
