genus,gutsmash_class,metabolite_name,tier,n_general,n_in_vitro,n_in_vivo,n_clinical,shap_importance,match_level,gutsmash_positive
Bifidobacterium,BranchedChainAA,Ile,4,6,1,1,1,0.007934311226318512,novel,False
CCUG-7971,BranchedChainAA,Ile,0,0,0,0,0,0.01324021420369156,novel,False
Egerieicola,BranchedChainAA,Ile,0,0,0,0,0,0.01229039584958903,novel,False
Escherichia,BranchedChainAA,Ile,4,3,99,89,9,0.007874449752669089,novel,False
Fusobacterium,BranchedChainAA,Ile,1,1,0,0,0,0.014069568090187617,genus,True
Klebsiella,BranchedChainAA,Ile,4,0,7,2,5,0.014308736680002692,novel,False
Lachnospira,BranchedChainAA,Ile,0,0,0,0,0,0.010102006134805006,genus,True
Leptotrichia,BranchedChainAA,Ile,0,0,0,0,0,0.009545651320814084,novel,False
Alistipes,PhenylamineFerm,trans-Cinnamate,0,0,0,0,0,0.010427602226194337,novel,False
Aphodousia,PhenylamineFerm,trans-Cinnamate,0,0,0,0,0,0.15989562161884763,novel,False
Avispirillum,PhenylamineFerm,trans-Cinnamate,0,0,0,0,0,0.0075749358397550984,novel,False
Pauljensenia,PhenylamineFerm,trans-Cinnamate,0,0,0,0,0,0.022244352518327088,novel,False
Sediminibacterium,PhenylamineFerm,trans-Cinnamate,0,0,0,0,0,0.019408606053780197,novel,False
UBA1829,PhenylamineFerm,trans-Cinnamate,0,0,0,0,0,0.0067205669149596504,novel,False
UBA5905,PhenylamineFerm,trans-Cinnamate,0,0,0,0,0,0.008210775939592022,novel,False
UMGS687,PhenylamineFerm,trans-Cinnamate,0,0,0,0,0,0.015467407220517882,novel,False
Erysipelatoclostridium,BranchedChainAA,Isobutyryl CoA,0,0,0,0,0,0.0073059120789688015,novel,False
Intestinibacter,BranchedChainAA,Isobutyryl CoA,0,0,0,0,0,0.005422933565909853,novel,False
Klebsiella,BranchedChainAA,Isobutyryl CoA,0,0,0,0,0,0.014308736680002692,novel,False
Alistipes,TMAO_Choline,Trimethylamine N-oxide,4,12,0,3,1,0.010950974750186318,novel,False
Clostridium,TMAO_Choline,Trimethylamine N-oxide,4,28,4,8,2,0.017003384129174712,genus,True
