met_name,met_base,taxon,pathway,stage,mean_flux,std_flux,n_samples,taxon_full,da_early,da_adv
Cholate,cholate,hadrus,Bile Acid,Early_CRC,43.70331336713917,30.05125313150829,5,Anaerostipes hadrus,False,True
Fructose,fru,prausnitzii,Other,Early_CRC,43.42921005740046,29.893346868462693,13,Faecalibacterium prausnitzii,True,False
Alpha-Ketoglutarate,akg,onderdonkii,Other,Early_CRC,43.34495582563852,38.31153804653746,13,Alistipes onderdonkii,True,False
Valine,val_L,prausnitzii,Other,Early_CRC,43.315999946221524,52.09755651383061,2,Faecalibacterium prausnitzii,True,False
Ammonium,nh4,wadsworthia,Other,Early_CRC,42.92960727352,8.942708565371356,4,Bilophila wadsworthia,False,True
Aspartate,asp_L,inulinivorans,Amino Acid,Early_CRC,42.825148065129625,38.14156549215498,13,Roseburia inulinivorans,True,False
Ammonium,nh4,inulinivorans,Other,Early_CRC,42.81492757358582,11.655827963395389,5,Roseburia inulinivorans,True,False
Acetaldehyde,acald,inulinivorans,Other,Early_CRC,42.59431527730187,22.70449877168958,11,Roseburia inulinivorans,True,False
Tetrahydrofolate,thf,bifidum,Other,Early_CRC,42.20179232950043,,1,Bifidobacterium bifidum,False,True
Succinate,succ,hadrus,Other,Early_CRC,42.16234246242732,24.242133600448113,9,Anaerostipes hadrus,False,True
Proline,pro_L,intestini,Amino Acid,Early_CRC,42.04576716283974,,1,intestini,True,False
Acetate,ac,inulinivorans,SCFA,Early_CRC,41.64225241135622,16.801783422076895,8,Roseburia inulinivorans,True,False
Proton,h,onderdonkii,Other,Early_CRC,41.35550686687832,24.45026398473993,4,Alistipes onderdonkii,True,False
Glucose,glc_D,inulinivorans,Other,Early_CRC,41.054308022685326,26.909221592825954,6,Roseburia inulinivorans,True,False
CO2,co2,faecis,Other,Early_CRC,40.52467055183262,27.522828017461283,8,faecis,False,True
Phosphate,pi,intestinihominis,Other,Early_CRC,39.872507316885994,30.107964959666727,9,intestinihominis,True,False
Butyrate,but,hadrus,SCFA,Early_CRC,39.69049542080071,24.58982601407062,6,Anaerostipes hadrus,False,True
D-Lactate,lac_D,inulinivorans,Other,Early_CRC,39.39717080807821,30.3801292189374,10,Roseburia inulinivorans,True,False
Isoleucine,ile_L,hadrus,Amino Acid,Early_CRC,38.73909953611383,,1,Anaerostipes hadrus,False,True
Valine,val_L,intestini,Other,Early_CRC,38.18284514173072,28.216155025135393,2,intestini,True,False
26dap_M,26dap_M,hadrus,Other,Early_CRC,37.848104126019905,,1,Anaerostipes hadrus,False,True
Cysteine,cys_L,hadrus,Other,Early_CRC,37.81055713673125,18.764954827179153,12,Anaerostipes hadrus,False,True
Nicotinamide,ncam,faecis,Other,Early_CRC,37.74535596560278,,1,faecis,False,True
Serine,ser_L,faecis,Other,Early_CRC,37.67124959903525,13.818860352817458,8,faecis,False,True
Ethanol,etoh,intestini,Other,Early_CRC,37.34629175876013,15.949916736669337,5,intestini,True,False
Formate,for,bifidum,Other,Early_CRC,37.32528321818702,20.18139781951507,4,Bifidobacterium bifidum,False,True
