Contrast,ACME,ACME_p,Total_effect,Prop_mediated
Ordinal_6class,-0.005635013932027166,0.788,-0.04690592240471085,0.01181603838304876
Binary_Healthy_vs_AdvancedCRC,0.0007889484859948854,0.992,-0.030905628494220877,-0.004533176273662804
