epithet,taxon_full,mean_flux,pathway,genus_micom,genus_shap,species,mean_shap,model,metabolite,kegg_id,stage,display_species,genus_confirmed
sp000186165,,,,,Neisseria,Neisseria sp000186165,0.0187696357248922,LightGBM,Glucose-6-Phosphate,C00092,Healthy,Neisseria sp000186165,False
sp000435795,,,,,Copromonas,Copromonas sp000435795,0.0182263941210277,LightGBM,Glucose-6-Phosphate,C00092,Healthy,Copromonas sp000435795,False
sp001657575,,,,,Barb7,Barb7 sp001657575,0.0203669158955762,LightGBM,Glucose-6-Phosphate,C00092,Healthy,Barb7 sp001657575,False
sp002438575,,,,,CAG-83,CAG-83 sp002438575,0.026718445772191,LightGBM,Glucose-6-Phosphate,C00092,Healthy,CAG-83 sp002438575,False
sp003150615,,,,,Merdimorpha,Merdimorpha sp003150615,0.0167425527378918,LightGBM,Glucose-6-Phosphate,C00092,Healthy,Merdimorpha sp003150615,False
sp016292635,,,,,SFEL01,SFEL01 sp016292635,0.0186011192114546,LightGBM,Glucose-6-Phosphate,C00092,Healthy,SFEL01 sp016292635,False
sp016292785,,,,,CAG-488,CAG-488 sp016292785,0.0137960124166413,LightGBM,Glucose-6-Phosphate,C00092,Healthy,CAG-488 sp016292785,False
sp017460955,,,,,UBA3855,UBA3855 sp017460955,0.0156563608255737,LightGBM,Glucose-6-Phosphate,C00092,Healthy,UBA3855 sp017460955,False
sp018065665,,,,,Sodaliphilus,Sodaliphilus sp018065665,0.0192132337151713,LightGBM,Glucose-6-Phosphate,C00092,Healthy,Sodaliphilus sp018065665,False
sp900548415,,,,,Porphyromonas,Porphyromonas sp900548415,0.0287782438567826,LightGBM,Glucose-6-Phosphate,C00092,Healthy,Porphyromonas sp900548415,False
sp900761895,,,,,HGM11417,HGM11417 sp900761895,0.0158815817022619,LightGBM,Glucose-6-Phosphate,C00092,Healthy,HGM11417 sp900761895,False
sp905212345,,,,,Aphodousia,Aphodousia sp905212345,0.0185020406043088,LightGBM,Glucose-6-Phosphate,C00092,Healthy,Aphodousia sp905212345,False
subflava,,,,,Neisseria,Neisseria subflava,0.0367556377236972,LightGBM,Glucose-6-Phosphate,C00092,Healthy,Neisseria subflava,False
veronii,Aeromonas veronii,4.888397576686397,Other,Aeromonas,,,,,Glucose-6-Phosphate,C00092,Healthy,Aeromonas veronii,False
vulgaris_A,,,,,Cupidesulfovibrio,Cupidesulfovibrio vulgaris_A,0.016539412712742,LightGBM,Glucose-6-Phosphate,C00092,Healthy,Cupidesulfovibrio vulgaris_A,False
aeruginosa,Pseudomonas aeruginosa,58.38887175971345,Amino Acid,Pseudomonas,,,,,Leucine,C00123,Healthy,Pseudomonas aeruginosa,False
australis,australis,70.7789409246304,Amino Acid,australis,,,,,Leucine,C00123,Healthy,australis,False
butyricum,Clostridium butyricum,90.31173447227587,Amino Acid,Clostridium,,,,,Leucine,C00123,Healthy,Clostridium butyricum,False
circumdentaria,,,,,Porphyromonas,Porphyromonas circumdentaria,0.0056017468018856,SVR,Leucine,C00123,Healthy,Porphyromonas circumdentaria,False
coahuilensis,,,,,Bacillus_T,Bacillus_T coahuilensis,0.007493699428987,SVR,Leucine,C00123,Healthy,Bacillus_T coahuilensis,False
coli,,,,,Escherichia,Escherichia coli,0.007874449752669,SVR,Leucine,C00123,Healthy,Escherichia coli,True
fragilis,fragilis,53.99871151784572,Amino Acid,fragilis,,,,,Leucine,C00123,Healthy,fragilis,False
freundii,Citrobacter freundii,51.94611289833996,Amino Acid,Citrobacter,,,,,Leucine,C00123,Healthy,Citrobacter freundii,False
hypermegale,Megamonas hypermegale,86.63049993347062,Amino Acid,Megamonas,,,,,Leucine,C00123,Healthy,Megamonas hypermegale,False
intestinipullorum,,,,,Excrementavichristensenella,Excrementavichristensenella intestinipullorum,0.0061422169178584,SVR,Leucine,C00123,Healthy,Excrementavichristensenella intestinipullorum,False
longum,,,,,Bifidobacterium,Bifidobacterium longum,0.0065976308614772,SVR,Leucine,C00123,Healthy,Bifidobacterium longum,False
mortiferum,,,,,Fusobacterium_A,Fusobacterium_A mortiferum,0.0116888243580845,SVR,Leucine,C00123,Healthy,Fusobacterium_A mortiferum,False
ornithinolytica,,,,,Klebsiella,Klebsiella ornithinolytica,0.0143087366800026,SVR,Leucine,C00123,Healthy,Klebsiella ornithinolytica,False
paraputrificum,Clostridium paraputrificum,77.06483710767897,Amino Acid,Clostridium,,,,,Leucine,C00123,Healthy,Clostridium paraputrificum,False
pullicaecorum,Butyricicoccus pullicaecorum,80.67367042808104,Amino Acid,Butyricicoccus,,,,,Leucine,C00123,Healthy,Butyricicoccus pullicaecorum,False
pullicola,,,,,Egerieicola,Egerieicola pullicola,0.012290395849589,SVR,Leucine,C00123,Healthy,Egerieicola pullicola,False
salivarius,,,,,Ligilactobacillus,Ligilactobacillus salivarius,0.0055635562511009,SVR,Leucine,C00123,Healthy,Ligilactobacillus salivarius,False
sinus,Oribacterium sinus,54.438547232099026,Amino Acid,Oribacterium,,,,,Leucine,C00123,Healthy,Oribacterium sinus,False
sp000235465,,,,,Fusobacterium,Fusobacterium sp000235465,0.0140695680901876,SVR,Leucine,C00123,Healthy,Fusobacterium sp000235465,False
sp000436475,,,,,Lachnospira,Lachnospira sp000436475,0.010102006134805,SVR,Leucine,C00123,Healthy,Lachnospira sp000436475,False
sp000436535,,,,,Lachnospira,Lachnospira sp000436535,0.006690056391088,SVR,Leucine,C00123,Healthy,Lachnospira sp000436535,False
sp001274535,,,,,Leptotrichia_A,Leptotrichia_A sp001274535,0.0078762053235145,SVR,Leucine,C00123,Healthy,Leptotrichia_A sp001274535,False
sp004793665,,,,,NM07-P-09,NM07-P-09 sp004793665,0.0054391724034463,SVR,Leucine,C00123,Healthy,NM07-P-09 sp004793665,False
sp014287795,,,,,Christensenella,Christensenella sp014287795,0.0060285116145378,SVR,Leucine,C00123,Healthy,Christensenella sp014287795,False
sp017590215,,,,,CCUG-7971,CCUG-7971 sp017590215,0.0132402142036915,SVR,Leucine,C00123,Healthy,CCUG-7971 sp017590215,False
sp900539345,,,,,UMGS124,UMGS124 sp900539345,0.0064438965868285,SVR,Leucine,C00123,Healthy,UMGS124 sp900539345,False
sp905212345,,,,,Aphodousia,Aphodousia sp905212345,0.0095462390506801,SVR,Leucine,C00123,Healthy,Aphodousia sp905212345,False
sp905213155,,,,,Acidaminococcus,Acidaminococcus sp905213155,0.0057018144157028,SVR,Leucine,C00123,Healthy,Acidaminococcus sp905213155,False
spiroforme,Erysipelatoclostridium spiroforme,54.991545980902465,Amino Acid,Erysipelatoclostridium,,,,,Leucine,C00123,Healthy,Erysipelatoclostridium spiroforme,False
adolescentis,Bifidobacterium adolescentis,46.048651462485054,Other,Bifidobacterium,,,,,GABA,C00334,Healthy,Bifidobacterium adolescentis,True
albertii,Escherichia albertii,33.34215124209482,Other,Escherichia,,,,,GABA,C00334,Healthy,Escherichia albertii,False
avistercoris,,,,,Alistipes,Alistipes avistercoris,0.0042892476759578,SVR,GABA,C00334,Healthy,Alistipes avistercoris,True
bifidum,,,,,Bifidobacterium,Bifidobacterium bifidum,0.0054417716039056,SVR,GABA,C00334,Healthy,Bifidobacterium bifidum,True
caecorum,,,,,Avimicrobium,Avimicrobium caecorum,0.010634012749668,SVR,GABA,C00334,Healthy,Avimicrobium caecorum,False
faecium,,,,,Avispirillum,Avispirillum faecium,0.0061929431399669,SVR,GABA,C00334,Healthy,Avispirillum faecium,False
fergusonii,Escherichia fergusonii,28.319937832842278,Other,Escherichia,,,,,GABA,C00334,Healthy,Escherichia fergusonii,False
fragilis,fragilis,24.550460625367684,Other,fragilis,,,,,GABA,C00334,Healthy,fragilis,False
gallinarii,,,,,Alangreenwoodia,Alangreenwoodia gallinarii,0.0065886306173768,SVR,GABA,C00334,Healthy,Alangreenwoodia gallinarii,False
hongkongensis,,,,,Streptobacillus,Streptobacillus hongkongensis,0.0067509905971429,SVR,GABA,C00334,Healthy,Streptobacillus hongkongensis,False
intestinavium,,,,,Duodenibacillus,Duodenibacillus intestinavium,0.0063499929587953,SVR,GABA,C00334,Healthy,Duodenibacillus intestinavium,False
leptum,,,,,Clostridium_A,Clostridium_A leptum,0.0108000823473011,SVR,GABA,C00334,Healthy,Clostridium_A leptum,False
merdae,merdae,88.72541384866396,Other,merdae,,,,,GABA,C00334,Healthy,merdae,False
nordii,Bacteroides nordii,51.15408608858391,Other,Bacteroides,,,,,GABA,C00334,Healthy,Bacteroides nordii,False
onderdonkii,Alistipes onderdonkii,27.572585225327124,Other,Alistipes,,,,,GABA,C00334,Healthy,Alistipes onderdonkii,True
parvula_A,,,,,Veillonella,Veillonella parvula_A,0.0154951124036779,SVR,GABA,C00334,Healthy,Veillonella parvula_A,False
sp000436475,,,,,Lachnospira,Lachnospira sp000436475,0.0123716717215274,SVR,GABA,C00334,Healthy,Lachnospira sp000436475,False
sp002350855,,,,,UBA3839,UBA3839 sp002350855,0.0042962937254738,SVR,GABA,C00334,Healthy,UBA3839 sp002350855,False
sp002359025,,,,,UBA3379,UBA3379 sp002359025,0.0076721950738854,SVR,GABA,C00334,Healthy,UBA3379 sp002359025,False
sp002431975,,,,,UBA5884,UBA5884 sp002431975,0.0048977951955768,SVR,GABA,C00334,Healthy,UBA5884 sp002431975,False
sp002438685,,,,,CAG-177,CAG-177 sp002438685,0.0040892515454902,SVR,GABA,C00334,Healthy,CAG-177 sp002438685,False
sp003445125,,,,,UBA11540,UBA11540 sp003445125,0.0046548477878681,SVR,GABA,C00334,Healthy,UBA11540 sp003445125,False
sp014323405,,,,,GCA-900066495,GCA-900066495 sp014323405,0.0040607165765345,SVR,GABA,C00334,Healthy,GCA-900066495 sp014323405,False
sp017483765,,,,,UBA3839,UBA3839 sp017483765,0.0061154371328831,SVR,GABA,C00334,Healthy,UBA3839 sp017483765,False
sp900539345,,,,,UMGS124,UMGS124 sp900539345,0.0084882893939769,SVR,GABA,C00334,Healthy,UMGS124 sp900539345,False
sp900539465,,,,,CAG-488,CAG-488 sp900539465,0.0048746205880466,SVR,GABA,C00334,Healthy,CAG-488 sp900539465,False
splanchnicus,Odoribacter splanchnicus,38.881872704616256,Other,Odoribacter,,,,,GABA,C00334,Healthy,Odoribacter splanchnicus,False
thermophilus,thermophilus,85.5299512358017,Other,thermophilus,,,,,GABA,C00334,Healthy,thermophilus,False
thetaiotaomicron,Bacteroides thetaiotaomicron,42.63943907059159,Other,Bacteroides,,,,,GABA,C00334,Healthy,Bacteroides thetaiotaomicron,False
angulatum,Bifidobacterium angulatum,68.43750000010668,Other,Bifidobacterium,,,,,Lactate,C00186,Healthy,Bifidobacterium angulatum,False
atypica,Veillonella atypica,65.67173379901286,Other,Veillonella,,,,,Lactate,C00186,Healthy,Veillonella atypica,False
australis,australis,85.83837319637205,Other,australis,,,,,Lactate,C00186,Healthy,australis,False
catenulatum,Bifidobacterium catenulatum,71.99999999990139,Other,Bifidobacterium,,,,,Lactate,C00186,Healthy,Bifidobacterium catenulatum,False
dentium,Bifidobacterium dentium,69.32800676819487,Other,Bifidobacterium,,,,,Lactate,C00186,Healthy,Bifidobacterium dentium,False
invisus,Dialister invisus,65.79394870054111,Other,Dialister,,,,,Lactate,C00186,Healthy,Dialister invisus,True
lenta,,,,,Victivallis,Victivallis lenta,0.004999052911169,SVR,Lactate,C00186,Healthy,Victivallis lenta,False
lentocellum,Cellulosilyticum lentocellum,82.12881536234241,Other,Cellulosilyticum,,,,,Lactate,C00186,Healthy,Cellulosilyticum lentocellum,False
macacae,,,,,Streptococcus,Streptococcus macacae,0.0048601735417661,SVR,Lactate,C00186,Healthy,Streptococcus macacae,True
oralis_BH,,,,,Streptococcus,Streptococcus oralis_BH,0.0042497199907133,SVR,Lactate,C00186,Healthy,Streptococcus oralis_BH,True
parvirubra,,,,,Sutterella,Sutterella parvirubra,0.0035914216388567,SVR,Lactate,C00186,Healthy,Sutterella parvirubra,False
provencensis,,,,,Acidaminococcus,Acidaminococcus provencensis,0.0040555654422322,SVR,Lactate,C00186,Healthy,Acidaminococcus provencensis,False
salivae,Prevotella salivae,76.81199533261889,Other,Prevotella,,,,,Lactate,C00186,Healthy,Prevotella salivae,False
sp000436475,,,,,Lachnospira,Lachnospira sp000436475,0.0040808186013551,SVR,Lactate,C00186,Healthy,Lachnospira sp000436475,False
sp001274535,,,,,Leptotrichia_A,Leptotrichia_A sp001274535,0.0071211887431702,SVR,Lactate,C00186,Healthy,Leptotrichia_A sp001274535,False
sp002393575,,,,,UBA3839,UBA3839 sp002393575,0.0079096206563313,SVR,Lactate,C00186,Healthy,UBA3839 sp002393575,False
sp003506415,,,,,UBA9506,UBA9506 sp003506415,0.0053542425555223,SVR,Lactate,C00186,Healthy,UBA9506 sp003506415,False
sp003531585,,,,,CAG-115,CAG-115 sp003531585,0.0038473149231068,SVR,Lactate,C00186,Healthy,CAG-115 sp003531585,False
sp900539265,,,,,CAG-313,CAG-313 sp900539265,0.0044542154084088,SVR,Lactate,C00186,Healthy,CAG-313 sp900539265,False
sp900540275,,,,,Scatavimonas,Scatavimonas sp900540275,0.0041497000996972,SVR,Lactate,C00186,Healthy,Scatavimonas sp900540275,False
sp900543455,,,,,Dialister,Dialister sp900543455,0.0046642413374713,SVR,Lactate,C00186,Healthy,Dialister sp900543455,True
sp900544555,,,,,UMGS693,UMGS693 sp900544555,0.0112786826455896,SVR,Lactate,C00186,Healthy,UMGS693 sp900544555,False
sp900546315,,,,,Flemingibacterium,Flemingibacterium sp900546315,0.0044324941009518,SVR,Lactate,C00186,Healthy,Flemingibacterium sp900546315,False
sp900548385,,,,,UBA1829,UBA1829 sp900548385,0.008120837474679,SVR,Lactate,C00186,Healthy,UBA1829 sp900548385,False
sp910589555,,,,,Muribaculum,Muribaculum sp910589555,0.0041241726650922,SVR,Lactate,C00186,Healthy,Muribaculum sp910589555,False
spG000499525,,,,,CCUG-7971,CCUG-7971 spG000499525,0.0055232110263299,SVR,Lactate,C00186,Healthy,CCUG-7971 spG000499525,False
stercoripullorum,,,,,Collinsella,Collinsella stercoripullorum,0.0041059280218589,SVR,Lactate,C00186,Healthy,Collinsella stercoripullorum,False
subtilis,Bacillus subtilis,82.16208596962636,Other,Bacillus,,,,,Lactate,C00186,Healthy,Bacillus subtilis,False
vestibularis,Streptococcus vestibularis,62.46998714242386,Other,Streptococcus,,,,,Lactate,C00186,Healthy,Streptococcus vestibularis,True
wadei,,,,,Leptotrichia,Leptotrichia wadei,0.0144709394179361,SVR,Lactate,C00186,Healthy,Leptotrichia wadei,False
atypica,Veillonella atypica,54.41860538668071,Other,Veillonella,,,,,Fumarate,C00122,Healthy,Veillonella atypica,False
curtum,,,,,Cryptobacterium,Cryptobacterium curtum,0.0060291032277704,SVR,Fumarate,C00122,Healthy,Cryptobacterium curtum,False
edinburgensis,,,,,Gallispira,Gallispira edinburgensis,0.0055896850521319,SVR,Fumarate,C00122,Healthy,Gallispira edinburgensis,False
excrementihominis,Parasutterella excrementihominis,55.835835613877414,Other,Parasutterella,,,,,Fumarate,C00122,Healthy,Parasutterella excrementihominis,False
frederiksenii,Yersinia frederiksenii,73.94866793614177,Other,Yersinia,,,,,Fumarate,C00122,Healthy,Yersinia frederiksenii,False
funiformis,Megamonas funiformis,65.82567990109258,Other,Megamonas,,,,,Fumarate,C00122,Healthy,Megamonas funiformis,False
goldsteinii,Parabacteroides goldsteinii,60.69345437596511,Other,Parabacteroides,,,,,Fumarate,C00122,Healthy,Parabacteroides goldsteinii,False
hansenii,Blautia hansenii,58.33333333333377,Other,Blautia,,,,,Fumarate,C00122,Healthy,Blautia hansenii,False
isourolithinifaciens,,,,,Ellagibacter,Ellagibacter isourolithinifaciens,0.0064490471639442,SVR,Fumarate,C00122,Healthy,Ellagibacter isourolithinifaciens,False
merdigallinarum,,,,,Flemingibacterium,Flemingibacterium merdigallinarum,0.0047200684842102,SVR,Fumarate,C00122,Healthy,Flemingibacterium merdigallinarum,False
oleiciplenus,Bacteroides oleiciplenus,55.9529530410164,Other,Bacteroides,,,,,Fumarate,C00122,Healthy,Bacteroides oleiciplenus,False
onderdonkii,,,,,Alistipes,Alistipes onderdonkii,0.0037186623966693,SVR,Fumarate,C00122,Healthy,Alistipes onderdonkii,False
pneumoniae,,,,,Klebsiella,Klebsiella pneumoniae,0.0036431203319838,SVR,Fumarate,C00122,Healthy,Klebsiella pneumoniae,False
quasipneumoniae,,,,,Klebsiella,Klebsiella quasipneumoniae,0.0044546393674202,SVR,Fumarate,C00122,Healthy,Klebsiella quasipneumoniae,False
sinus,Oribacterium sinus,65.94544762398303,Other,Oribacterium,,,,,Fumarate,C00122,Healthy,Oribacterium sinus,False
sp000436475,,,,,Lachnospira,Lachnospira sp000436475,0.0046866233937131,SVR,Fumarate,C00122,Healthy,Lachnospira sp000436475,False
sp000436535,,,,,Lachnospira,Lachnospira sp000436535,0.0044046395161027,SVR,Fumarate,C00122,Healthy,Lachnospira sp000436535,False
sp000436835,,,,,Eubacterium_R,Eubacterium_R sp000436835,0.0045058136456549,SVR,Fumarate,C00122,Healthy,Eubacterium_R sp000436835,False
sp001274535,,,,,Leptotrichia_A,Leptotrichia_A sp001274535,0.0108161045154789,SVR,Fumarate,C00122,Healthy,Leptotrichia_A sp001274535,False
sp007293315,,,,,Alkalihalobacillus_A,Alkalihalobacillus_A sp007293315,0.0111859238728598,SVR,Fumarate,C00122,Healthy,Alkalihalobacillus_A sp007293315,False
sp013333035,,,,,CAG-793,CAG-793 sp013333035,0.0043260508073881,SVR,Fumarate,C00122,Healthy,CAG-793 sp013333035,False
sp900539755,,,,,Alistipes_A,Alistipes_A sp900539755,0.0070096859378468,SVR,Fumarate,C00122,Healthy,Alistipes_A sp900539755,False
sp900542265,,,,,CAG-1427,CAG-1427 sp900542265,0.0038274445381528,SVR,Fumarate,C00122,Healthy,CAG-1427 sp900542265,False
sp900542625,,,,,Fusobacterium_B,Fusobacterium_B sp900542625,0.007698245583069,SVR,Fumarate,C00122,Healthy,Fusobacterium_B sp900542625,False
sp900548365,,,,,Collinsella,Collinsella sp900548365,0.005379219661399,SVR,Fumarate,C00122,Healthy,Collinsella sp900548365,False
sp900753285,,,,,UMGS1696,UMGS1696 sp900753285,0.0077704650252285,SVR,Fumarate,C00122,Healthy,UMGS1696 sp900753285,False
sp900761765,,,,,Protoclostridium,Protoclostridium sp900761765,0.0062698867498176,SVR,Fumarate,C00122,Healthy,Protoclostridium sp900761765,False
sp910586665,,,,,Duncaniella,Duncaniella sp910586665,0.0036649900497786,SVR,Fumarate,C00122,Healthy,Duncaniella sp910586665,False
wadsworthensis,Sutterella wadsworthensis,46.21176655713937,Other,Sutterella,,,,,Fumarate,C00122,Healthy,Sutterella wadsworthensis,False
wadsworthia,Bilophila wadsworthia,46.4676907434502,Other,Bilophila,,,,,Fumarate,C00122,Healthy,Bilophila wadsworthia,False
bartlettii,Intestinibacter bartlettii,66.6666666666644,Other,Intestinibacter,,,,,Riboflavin,C00255,Healthy,Intestinibacter bartlettii,True
butyricum,,,,,Clostridium,Clostridium butyricum,0.0471493062059194,RF,Riboflavin,C00255,Healthy,Clostridium butyricum,False
