epithet,taxon_full,mean_flux,pathway,genus_micom,genus_shap,species,mean_shap,model,metabolite,kegg_id,stage,display_species,genus_confirmed
sp900540355,,,,,Intestinibacter,Intestinibacter sp900540355,0.0062573963689078,RF,Riboflavin,C00255,Healthy,Intestinibacter sp900540355,True
sp900557035,,,,,Prevotella,Prevotella sp900557035,0.0052423726791613,RF,Riboflavin,C00255,Healthy,Prevotella sp900557035,False
sp905214315,,,,,UMGS1322,UMGS1322 sp905214315,0.0106612867241064,RF,Riboflavin,C00255,Healthy,UMGS1322 sp905214315,False
stercoris,,,,,Bacteroides,Bacteroides stercoris,0.0083665821759446,RF,Riboflavin,C00255,Healthy,Bacteroides stercoris,False
subflava,,,,,Neisseria,Neisseria subflava,0.0048035669796686,RF,Riboflavin,C00255,Healthy,Neisseria subflava,False
timonensis,,,,,Raoultibacter,Raoultibacter timonensis,0.0052645051864543,RF,Riboflavin,C00255,Healthy,Raoultibacter timonensis,False
weinsteinii,,,,,Romboutsia_A,Romboutsia_A weinsteinii,0.0125898606579787,RF,Riboflavin,C00255,Healthy,Romboutsia_A weinsteinii,False
aalborgi,,,,,Brachyspira,Brachyspira aalborgi,0.0107419889766393,SVR,Urea,C00086,Healthy,Brachyspira aalborgi,False
amylolyticus,,,,,Lactobacillus,Lactobacillus amylolyticus,0.010829828836231,SVR,Urea,C00086,Healthy,Lactobacillus amylolyticus,False
avistercoris,,,,,Alistipes,Alistipes avistercoris,0.0061824610695236,SVR,Urea,C00086,Healthy,Alistipes avistercoris,True
cellulosilyticus,Bacteroides cellulosilyticus,26.25291401730213,Other,Bacteroides,,,,,Urea,C00086,Healthy,Bacteroides cellulosilyticus,False
coli,,,,,Escherichia,Escherichia coli,0.0097642734369946,SVR,Urea,C00086,Healthy,Escherichia coli,False
eggerthii,Bacteroides eggerthii,20.611565584623605,Other,Bacteroides,,,,,Urea,C00086,Healthy,Bacteroides eggerthii,False
intestinigallinarum,,,,,Duodenibacillus,Duodenibacillus intestinigallinarum,0.005827430585317,SVR,Urea,C00086,Healthy,Duodenibacillus intestinigallinarum,False
merdae,merdae,15.25592649983181,Other,merdae,,,,,Urea,C00086,Healthy,merdae,False
ovatus,Bacteroides ovatus,10.885406384148725,Other,Bacteroides,,,,,Urea,C00086,Healthy,Bacteroides ovatus,False
prausnitzii,Faecalibacterium prausnitzii,26.02328156697338,Other,Faecalibacterium,,,,,Urea,C00086,Healthy,Faecalibacterium prausnitzii,False
pullicola,,,,,Egerieicola,Egerieicola pullicola,0.0105766654705261,SVR,Urea,C00086,Healthy,Egerieicola pullicola,False
salyersiae,Bacteroides salyersiae,15.734280591806197,Other,Bacteroides,,,,,Urea,C00086,Healthy,Bacteroides salyersiae,False
saudiense,,,,,Clostridium,Clostridium saudiense,0.0061962413557803,SVR,Urea,C00086,Healthy,Clostridium saudiense,False
sp000437735,,,,,Lachnospira,Lachnospira sp000437735,0.0083053543389415,SVR,Urea,C00086,Healthy,Lachnospira sp000437735,False
sp000758905,,,,,S5-A14a,S5-A14a sp000758905,0.0108114632342709,SVR,Urea,C00086,Healthy,S5-A14a sp000758905,False
sp900539465,,,,,CAG-488,CAG-488 sp900539465,0.0113858399288284,SVR,Urea,C00086,Healthy,CAG-488 sp900539465,False
sp900541465,,,,,Fusobacterium_B,Fusobacterium_B sp900541465,0.0074068358260236,SVR,Urea,C00086,Healthy,Fusobacterium_B sp900541465,False
sp900544555,,,,,UMGS693,UMGS693 sp900544555,0.0087048350980499,SVR,Urea,C00086,Healthy,UMGS693 sp900544555,False
sp900757865,,,,,Sutterella,Sutterella sp900757865,0.006828729353416,SVR,Urea,C00086,Healthy,Sutterella sp900757865,False
sp900766045,,,,,Eubacterium_T,Eubacterium_T sp900766045,0.0102385877197254,SVR,Urea,C00086,Healthy,Eubacterium_T sp900766045,False
sp900766315,,,,,Clostridium,Clostridium sp900766315,0.0056980861183067,SVR,Urea,C00086,Healthy,Clostridium sp900766315,False
sp903789375,,,,,CAIFEB01,CAIFEB01 sp903789375,0.0090686991455671,SVR,Urea,C00086,Healthy,CAIFEB01 sp903789375,False
thermophilus,thermophilus,8.674418714763465,Other,thermophilus,,,,,Urea,C00086,Healthy,thermophilus,False
timonensis,,,,,Alloprevotella,Alloprevotella timonensis,0.0058591242919375,SVR,Urea,C00086,Healthy,Alloprevotella timonensis,False
turicensis,,,,,Pauljensenia,Pauljensenia turicensis,0.0068662336842133,SVR,Urea,C00086,Healthy,Pauljensenia turicensis,False
uniformis,Bacteroides uniformis,5.520855215107407,Other,Bacteroides,,,,,Urea,C00086,Healthy,Bacteroides uniformis,False
virosa,Butyricimonas virosa,60.671677051451866,Other,Butyricimonas,,,,,Urea,C00086,Healthy,Butyricimonas virosa,False
xylanisolvens,Bacteroides xylanisolvens,25.923318620339423,Other,Bacteroides,,,,,Urea,C00086,Healthy,Bacteroides xylanisolvens,False
distasonis,Parabacteroides distasonis,2.2806293471287002,Other,Parabacteroides,,,,,Dodecanoate,C02679,Healthy,Parabacteroides distasonis,False
gallinarii,,,,,Alangreenwoodia,Alangreenwoodia gallinarii,0.0060048591602442,SVR,Dodecanoate,C02679,Healthy,Alangreenwoodia gallinarii,False
indistinctus,,,,,Alistipes_A,Alistipes_A indistinctus,0.0086705722247151,SVR,Dodecanoate,C02679,Healthy,Alistipes_A indistinctus,False
merdae,merdae,23.776293223200376,Other,merdae,,,,,Dodecanoate,C02679,Healthy,merdae,False
onderdonkii,,,,,Alistipes,Alistipes onderdonkii,0.0077231518623225,SVR,Dodecanoate,C02679,Healthy,Alistipes onderdonkii,False
plantarum,,,,,Lactococcus_A,Lactococcus_A plantarum,0.0095399395537173,SVR,Dodecanoate,C02679,Healthy,Lactococcus_A plantarum,False
pseudocatenulatum,,,,,Bifidobacterium,Bifidobacterium pseudocatenulatum,0.0058840809734178,SVR,Dodecanoate,C02679,Healthy,Bifidobacterium pseudocatenulatum,False
saphenum,,,,,Eubacterium_N,Eubacterium_N saphenum,0.0058084332785341,SVR,Dodecanoate,C02679,Healthy,Eubacterium_N saphenum,False
sp000436475,,,,,Lachnospira,Lachnospira sp000436475,0.0077120042267947,SVR,Dodecanoate,C02679,Healthy,Lachnospira sp000436475,False
sp001916775,,,,,CAG-302,CAG-302 sp001916775,0.011672137053674,SVR,Dodecanoate,C02679,Healthy,CAG-302 sp001916775,False
sp002393575,,,,,UBA3839,UBA3839 sp002393575,0.0068557237136562,SVR,Dodecanoate,C02679,Healthy,UBA3839 sp002393575,False
sp002440225,,,,,Prevotella,Prevotella sp002440225,0.0104431901356514,SVR,Dodecanoate,C02679,Healthy,Prevotella sp002440225,False
sp017548065,,,,,Faecousia,Faecousia sp017548065,0.0067404447128699,SVR,Dodecanoate,C02679,Healthy,Faecousia sp017548065,False
sp018110825,,,,,RGIG8773,RGIG8773 sp018110825,0.0094059908827708,SVR,Dodecanoate,C02679,Healthy,RGIG8773 sp018110825,False
sp900554355,,,,,Fusobacterium_B,Fusobacterium_B sp900554355,0.0126671496957407,SVR,Dodecanoate,C02679,Healthy,Fusobacterium_B sp900554355,False
sp900557305,,,,,UBA5026,UBA5026 sp900557305,0.0064648013151062,SVR,Dodecanoate,C02679,Healthy,UBA5026 sp900557305,False
sp900754475,,,,,Sutterella,Sutterella sp900754475,0.0060105931102882,SVR,Dodecanoate,C02679,Healthy,Sutterella sp900754475,False
sp905209745,,,,,Faecimonas,Faecimonas sp905209745,0.020293418104082,SVR,Dodecanoate,C02679,Healthy,Faecimonas sp905209745,False
succinatiphilus,,,,,Dialister,Dialister succinatiphilus,0.0060143268954759,SVR,Dodecanoate,C02679,Healthy,Dialister succinatiphilus,False
tenue,,,,,Paraclostridium,Paraclostridium tenue,0.0114529856954501,SVR,Dodecanoate,C02679,Healthy,Paraclostridium tenue,False
variicola,,,,,Klebsiella,Klebsiella variicola,0.0097573778234828,SVR,Dodecanoate,C02679,Healthy,Klebsiella variicola,False
faecalis,,,,,Aphodousia,Aphodousia faecalis,0.0059781926723343,RF,Pyridoxine,C00314,Healthy,Aphodousia faecalis,False
gallinarii,,,,,Alangreenwoodia,Alangreenwoodia gallinarii,0.0112090861929669,RF,Pyridoxine,C00314,Healthy,Alangreenwoodia gallinarii,False
indistinctus,,,,,Alistipes_A,Alistipes_A indistinctus,0.0107122600396446,RF,Pyridoxine,C00314,Healthy,Alistipes_A indistinctus,False
medium,Treponema medium,0.4399234978233911,Other,Treponema,,,,,Pyridoxine,C00314,Healthy,Treponema medium,False
merdae,merdae,12.883796663145716,Other,merdae,,,,,Pyridoxine,C00314,Healthy,merdae,False
merdavium,,,,,Spyradocola,Spyradocola merdavium,0.0228178166316766,RF,Pyridoxine,C00314,Healthy,Spyradocola merdavium,False
merdipullorum,,,,,Scatavimonas,Scatavimonas merdipullorum,0.0845771151504781,RF,Pyridoxine,C00314,Healthy,Scatavimonas merdipullorum,False
putredinis,,,,,Alistipes,Alistipes putredinis,0.0038611739325512,RF,Pyridoxine,C00314,Healthy,Alistipes putredinis,False
sp000432135,,,,,CAG-170,CAG-170 sp000432135,0.004268783039489,RF,Pyridoxine,C00314,Healthy,CAG-170 sp000432135,False
sp000432155,,,,,CAG-274,CAG-274 sp000432155,0.0054147002138759,RF,Pyridoxine,C00314,Healthy,CAG-274 sp000432155,False
sp000434475,,,,,Dialister,Dialister sp000434475,0.0081577606164388,RF,Pyridoxine,C00314,Healthy,Dialister sp000434475,False
sp900539195,,,,,Ruminiclostridium_E,Ruminiclostridium_E sp900539195,0.0036180995337718,RF,Pyridoxine,C00314,Healthy,Ruminiclostridium_E sp900539195,False
sp900544375,,,,,Fimivicinus,Fimivicinus sp900544375,0.0037083335336957,RF,Pyridoxine,C00314,Healthy,Fimivicinus sp900544375,False
sp900544555,,,,,UMGS693,UMGS693 sp900544555,0.0259145831703941,RF,Pyridoxine,C00314,Healthy,UMGS693 sp900544555,False
sp900546845,,,,,UBA1685,UBA1685 sp900546845,0.0047629558427333,RF,Pyridoxine,C00314,Healthy,UBA1685 sp900546845,False
sp900554485,,,,,UBA10281,UBA10281 sp900554485,0.0066739960237403,RF,Pyridoxine,C00314,Healthy,UBA10281 sp900554485,False
sp900555035,,,,,Prevotella,Prevotella sp900555035,0.0035097694645196,RF,Pyridoxine,C00314,Healthy,Prevotella sp900555035,False
sp900557255,,,,,Prevotella,Prevotella sp900557255,0.0062228480225127,RF,Pyridoxine,C00314,Healthy,Prevotella sp900557255,False
sp900763035,,,,,UBA5905,UBA5905 sp900763035,0.0056167156040113,RF,Pyridoxine,C00314,Healthy,UBA5905 sp900763035,False
sp905207485,,,,,CAG-266,CAG-266 sp905207485,0.0036002355678976,RF,Pyridoxine,C00314,Healthy,CAG-266 sp905207485,False
succinatiphilus,,,,,Dialister,Dialister succinatiphilus,0.0054490503957478,RF,Pyridoxine,C00314,Healthy,Dialister succinatiphilus,False
tenue,,,,,Paraclostridium,Paraclostridium tenue,0.0045989518712342,RF,Pyridoxine,C00314,Healthy,Paraclostridium tenue,False
amylolyticus,,,,,Lactobacillus,Lactobacillus amylolyticus,0.0253251442029713,LightGBM,Glucuronate,C00191,Healthy,Lactobacillus amylolyticus,False
cellulosilyticus,Bacteroides cellulosilyticus,0.25081627703931375,Other,Bacteroides,,,,,Glucuronate,C00191,Healthy,Bacteroides cellulosilyticus,False
flavescens_C,,,,,Neisseria,Neisseria flavescens_C,0.0350478232192139,LightGBM,Glucuronate,C00191,Healthy,Neisseria flavescens_C,False
forsythia_A,,,,,Tannerella,Tannerella forsythia_A,0.0243784293042389,LightGBM,Glucuronate,C00191,Healthy,Tannerella forsythia_A,False
ihumii,,,,,Alistipes_A,Alistipes_A ihumii,0.0274448558233088,LightGBM,Glucuronate,C00191,Healthy,Alistipes_A ihumii,False
longum,longum,0.03321199011349792,Other,longum,,,,,Glucuronate,C00191,Healthy,longum,False
medium,Treponema medium,0.0011294610000172232,Other,Treponema,,,,,Glucuronate,C00191,Healthy,Treponema medium,False
merdae,merdae,0.04997720941968435,Other,merdae,,,,,Glucuronate,C00191,Healthy,merdae,False
merdipullorum,,,,,Scatavimonas,Scatavimonas merdipullorum,0.0395631087355626,LightGBM,Glucuronate,C00191,Healthy,Scatavimonas merdipullorum,False
ovatus,Bacteroides ovatus,0.11456582521680705,Other,Bacteroides,,,,,Glucuronate,C00191,Healthy,Bacteroides ovatus,False
parauberis,,,,,Streptococcus,Streptococcus parauberis,0.0367043692912096,LightGBM,Glucuronate,C00191,Healthy,Streptococcus parauberis,False
ramosum,,,,,Erysipelatoclostridium,Erysipelatoclostridium ramosum,0.0567879583749478,LightGBM,Glucuronate,C00191,Healthy,Erysipelatoclostridium ramosum,False
silvanus,,,,,Meiothermus_B,Meiothermus_B silvanus,0.0548853612966704,LightGBM,Glucuronate,C00191,Healthy,Meiothermus_B silvanus,False
sp000431015,,,,,Cryptobacteroides,Cryptobacteroides sp000431015,0.0245663503382232,LightGBM,Glucuronate,C00191,Healthy,Cryptobacteroides sp000431015,False
sp000437595,,,,,UBA11524,UBA11524 sp000437595,0.0191551883217449,LightGBM,Glucuronate,C00191,Healthy,UBA11524 sp000437595,False
sp001274535,,,,,Leptotrichia_A,Leptotrichia_A sp001274535,0.0203466037586967,LightGBM,Glucuronate,C00191,Healthy,Leptotrichia_A sp001274535,False
sp900319515,,,,,CAG-127,CAG-127 sp900319515,0.0280794912660736,LightGBM,Glucuronate,C00191,Healthy,CAG-127 sp900319515,False
sp900539465,,,,,CAG-488,CAG-488 sp900539465,0.0280558356889028,LightGBM,Glucuronate,C00191,Healthy,CAG-488 sp900539465,False
sp900540355,,,,,Intestinibacter,Intestinibacter sp900540355,0.0345087151753448,LightGBM,Glucuronate,C00191,Healthy,Intestinibacter sp900540355,False
sp900757655,,,,,CAG-103,CAG-103 sp900757655,0.0465999224324809,LightGBM,Glucuronate,C00191,Healthy,CAG-103 sp900757655,False
sp900763035,,,,,UBA5905,UBA5905 sp900763035,0.0354098777497658,LightGBM,Glucuronate,C00191,Healthy,UBA5905 sp900763035,False
sp902766775,,,,,Ruminococcus_E,Ruminococcus_E sp902766775,0.0303247927920302,LightGBM,Glucuronate,C00191,Healthy,Ruminococcus_E sp902766775,False
spG000499525,,,,,CCUG-7971,CCUG-7971 spG000499525,0.03178408087418,LightGBM,Glucuronate,C00191,Healthy,CCUG-7971 spG000499525,False
thetaiotaomicron,Bacteroides thetaiotaomicron,0.08328485120800586,Other,Bacteroides,,,,,Glucuronate,C00191,Healthy,Bacteroides thetaiotaomicron,False
turicensis,,,,,Pauljensenia,Pauljensenia turicensis,0.0289667349737437,LightGBM,Glucuronate,C00191,Healthy,Pauljensenia turicensis,False
uniformis,Bacteroides uniformis,0.003780549910272591,Other,Bacteroides,,,,,Glucuronate,C00191,Healthy,Bacteroides uniformis,False
wadei,,,,,Leptotrichia,Leptotrichia wadei,0.0409421836938129,LightGBM,Glucuronate,C00191,Healthy,Leptotrichia wadei,False
albertii,Escherichia albertii,89.30000421669929,Amino Acid,Escherichia,,,,,Isoleucine,C00407,Early_CRC,Escherichia albertii,True
ascorbata,Kluyvera ascorbata,85.41545054644479,Amino Acid,Kluyvera,,,,,Isoleucine,C00407,Early_CRC,Kluyvera ascorbata,False
atypica,Veillonella atypica,95.98731343866856,Amino Acid,Veillonella,,,,,Isoleucine,C00407,Early_CRC,Veillonella atypica,False
cerevisiae,,,,,Megasphaera,Megasphaera cerevisiae,0.0066434317492687,SVR,Isoleucine,C00407,Early_CRC,Megasphaera cerevisiae,True
cloacae,Enterobacter cloacae,83.19854241566246,Amino Acid,Enterobacter,,,,,Isoleucine,C00407,Early_CRC,Enterobacter cloacae,False
coli,,,,,Escherichia,Escherichia coli,0.0059514377462402,SVR,Isoleucine,C00407,Early_CRC,Escherichia coli,True
constellatus,Streptococcus constellatus,98.48913192998302,Amino Acid,Streptococcus,,,,,Isoleucine,C00407,Early_CRC,Streptococcus constellatus,False
faecium,,,,,Gallimonas,Gallimonas faecium,0.0049361278920729,SVR,Isoleucine,C00407,Early_CRC,Gallimonas faecium,False
limosum,Eubacterium limosum,84.26614796959686,Amino Acid,Eubacterium,,,,,Isoleucine,C00407,Early_CRC,Eubacterium limosum,False
longum,,,,,Bifidobacterium,Bifidobacterium longum,0.0079343112263185,SVR,Isoleucine,C00407,Early_CRC,Bifidobacterium longum,True
mortiferum,,,,,Fusobacterium_A,Fusobacterium_A mortiferum,0.0138788629778918,SVR,Isoleucine,C00407,Early_CRC,Fusobacterium_A mortiferum,False
ornithinolytica,,,,,Klebsiella,Klebsiella ornithinolytica,0.0130091556423128,SVR,Isoleucine,C00407,Early_CRC,Klebsiella ornithinolytica,True
oxytoca,Klebsiella oxytoca,85.03478249632089,Amino Acid,Klebsiella,,,,,Isoleucine,C00407,Early_CRC,Klebsiella oxytoca,True
pilosicoli,Brachyspira pilosicoli,86.82806174381156,Amino Acid,Brachyspira,,,,,Isoleucine,C00407,Early_CRC,Brachyspira pilosicoli,False
pullicaecorum,Butyricicoccus pullicaecorum,94.67435185320826,Amino Acid,Butyricicoccus,,,,,Isoleucine,C00407,Early_CRC,Butyricicoccus pullicaecorum,False
pullicola,,,,,Egerieicola,Egerieicola pullicola,0.0121850427632336,SVR,Isoleucine,C00407,Early_CRC,Egerieicola pullicola,False
silvisoli,,,,,Chitinophaga,Chitinophaga silvisoli,0.0062227107603198,SVR,Isoleucine,C00407,Early_CRC,Chitinophaga silvisoli,False
sp000235465,,,,,Fusobacterium,Fusobacterium sp000235465,0.0060361823267351,SVR,Isoleucine,C00407,Early_CRC,Fusobacterium sp000235465,False
sp000432175,,,,,CAG-115,CAG-115 sp000432175,0.0078080823664354,SVR,Isoleucine,C00407,Early_CRC,CAG-115 sp000432175,False
sp000436475,,,,,Lachnospira,Lachnospira sp000436475,0.0074037705140867,SVR,Isoleucine,C00407,Early_CRC,Lachnospira sp000436475,False
sp000436835,,,,,Eubacterium_R,Eubacterium_R sp000436835,0.0045671716779725,SVR,Isoleucine,C00407,Early_CRC,Eubacterium_R sp000436835,False
sp001274535,,,,,Leptotrichia_A,Leptotrichia_A sp001274535,0.009545651320814,SVR,Isoleucine,C00407,Early_CRC,Leptotrichia_A sp001274535,False
sp005843885,,,,,Escherichia,Escherichia sp005843885,0.004921900678952,SVR,Isoleucine,C00407,Early_CRC,Escherichia sp005843885,True
sp013333035,,,,,CAG-793,CAG-793 sp013333035,0.0046664335039683,SVR,Isoleucine,C00407,Early_CRC,CAG-793 sp013333035,False
sp017590215,,,,,CCUG-7971,CCUG-7971 sp017590215,0.0086863360208072,SVR,Isoleucine,C00407,Early_CRC,CCUG-7971 sp017590215,False
sp900540255,,,,,Clostridium,Clostridium sp900540255,0.0054713358316847,SVR,Isoleucine,C00407,Early_CRC,Clostridium sp900540255,False
sp900541605,,,,,Dialister,Dialister sp900541605,0.0079537428907459,SVR,Isoleucine,C00407,Early_CRC,Dialister sp900541605,False
sp905212345,,,,,Aphodousia,Aphodousia sp905212345,0.0089235359644648,SVR,Isoleucine,C00407,Early_CRC,Aphodousia sp905212345,False
sp905213155,,,,,Acidaminococcus,Acidaminococcus sp905213155,0.0060001738519559,SVR,Isoleucine,C00407,Early_CRC,Acidaminococcus sp905213155,False
striatum,Corynebacterium striatum,97.66018957832702,Amino Acid,Corynebacterium,,,,,Isoleucine,C00407,Early_CRC,Corynebacterium striatum,False
caviae,caviae,82.09955027932149,Other,caviae,,,,,Lactate,C00186,Early_CRC,caviae,False
cylindroides,Faecalitalea cylindroides,75.81957119067495,Other,Faecalitalea,,,,,Lactate,C00186,Early_CRC,Faecalitalea cylindroides,False
elsdenii,Megasphaera elsdenii,62.99272264853042,Other,Megasphaera,,,,,Lactate,C00186,Early_CRC,Megasphaera elsdenii,False
filiformis,Holdemania filiformis,66.66666666666595,Other,Holdemania,,,,,Lactate,C00186,Early_CRC,Holdemania filiformis,False
inulinivorans,Roseburia inulinivorans,63.38699900751743,Other,Roseburia,,,,,Lactate,C00186,Early_CRC,Roseburia inulinivorans,False
kashiwanohense,Bifidobacterium kashiwanohense,92.30769230769153,Other,Bifidobacterium,,,,,Lactate,C00186,Early_CRC,Bifidobacterium kashiwanohense,False
lenta,,,,,Victivallis,Victivallis lenta,0.004999052911169,SVR,Lactate,C00186,Early_CRC,Victivallis lenta,False
macacae,,,,,Streptococcus,Streptococcus macacae,0.0048601735417661,SVR,Lactate,C00186,Early_CRC,Streptococcus macacae,True
oralis_BH,,,,,Streptococcus,Streptococcus oralis_BH,0.0042497199907133,SVR,Lactate,C00186,Early_CRC,Streptococcus oralis_BH,True
parasanguinis,Streptococcus parasanguinis,61.15770702380442,Other,Streptococcus,,,,,Lactate,C00186,Early_CRC,Streptococcus parasanguinis,True
parvirubra,,,,,Sutterella,Sutterella parvirubra,0.0035914216388567,SVR,Lactate,C00186,Early_CRC,Sutterella parvirubra,False
provencensis,,,,,Acidaminococcus,Acidaminococcus provencensis,0.0040555654422322,SVR,Lactate,C00186,Early_CRC,Acidaminococcus provencensis,False
pseudocatenulatum,Bifidobacterium pseudocatenulatum,63.970643789407326,Other,Bifidobacterium,,,,,Lactate,C00186,Early_CRC,Bifidobacterium pseudocatenulatum,False
ramosum,ramosum,88.3947012094277,Other,ramosum,,,,,Lactate,C00186,Early_CRC,ramosum,False
scardovii,Bifidobacterium scardovii,70.71676037882101,Other,Bifidobacterium,,,,,Lactate,C00186,Early_CRC,Bifidobacterium scardovii,False
sp000436475,,,,,Lachnospira,Lachnospira sp000436475,0.0040808186013551,SVR,Lactate,C00186,Early_CRC,Lachnospira sp000436475,False
sp001274535,,,,,Leptotrichia_A,Leptotrichia_A sp001274535,0.0071211887431702,SVR,Lactate,C00186,Early_CRC,Leptotrichia_A sp001274535,False
sp002393575,,,,,UBA3839,UBA3839 sp002393575,0.0079096206563313,SVR,Lactate,C00186,Early_CRC,UBA3839 sp002393575,False
sp003506415,,,,,UBA9506,UBA9506 sp003506415,0.0053542425555223,SVR,Lactate,C00186,Early_CRC,UBA9506 sp003506415,False
sp003531585,,,,,CAG-115,CAG-115 sp003531585,0.0038473149231068,SVR,Lactate,C00186,Early_CRC,CAG-115 sp003531585,False
sp900539265,,,,,CAG-313,CAG-313 sp900539265,0.0044542154084088,SVR,Lactate,C00186,Early_CRC,CAG-313 sp900539265,False
sp900540275,,,,,Scatavimonas,Scatavimonas sp900540275,0.0041497000996972,SVR,Lactate,C00186,Early_CRC,Scatavimonas sp900540275,False
sp900543455,,,,,Dialister,Dialister sp900543455,0.0046642413374713,SVR,Lactate,C00186,Early_CRC,Dialister sp900543455,True
sp900544555,,,,,UMGS693,UMGS693 sp900544555,0.0112786826455896,SVR,Lactate,C00186,Early_CRC,UMGS693 sp900544555,False
sp900546315,,,,,Flemingibacterium,Flemingibacterium sp900546315,0.0044324941009518,SVR,Lactate,C00186,Early_CRC,Flemingibacterium sp900546315,False
sp900548385,,,,,UBA1829,UBA1829 sp900548385,0.008120837474679,SVR,Lactate,C00186,Early_CRC,UBA1829 sp900548385,False
sp910589555,,,,,Muribaculum,Muribaculum sp910589555,0.0041241726650922,SVR,Lactate,C00186,Early_CRC,Muribaculum sp910589555,False
spG000499525,,,,,CCUG-7971,CCUG-7971 spG000499525,0.0055232110263299,SVR,Lactate,C00186,Early_CRC,CCUG-7971 spG000499525,False
stercoripullorum,,,,,Collinsella,Collinsella stercoripullorum,0.0041059280218589,SVR,Lactate,C00186,Early_CRC,Collinsella stercoripullorum,True
wadei,,,,,Leptotrichia,Leptotrichia wadei,0.0144709394179361,SVR,Lactate,C00186,Early_CRC,Leptotrichia wadei,False
atypica,Veillonella atypica,79.96775074984345,Other,Veillonella,,,,,Fumarate,C00122,Early_CRC,Veillonella atypica,False
colihominis,Anaerotruncus colihominis,55.44803322670863,Other,Anaerotruncus,,,,,Fumarate,C00122,Early_CRC,Anaerotruncus colihominis,False
curtum,,,,,Cryptobacterium,Cryptobacterium curtum,0.0060291032277704,SVR,Fumarate,C00122,Early_CRC,Cryptobacterium curtum,False
durum,Corynebacterium durum,90.69482020873727,Other,Corynebacterium,,,,,Fumarate,C00122,Early_CRC,Corynebacterium durum,False
edinburgensis,,,,,Gallispira,Gallispira edinburgensis,0.0055896850521319,SVR,Fumarate,C00122,Early_CRC,Gallispira edinburgensis,False
excrementihominis,Parasutterella excrementihominis,56.31281700908691,Other,Parasutterella,,,,,Fumarate,C00122,Early_CRC,Parasutterella excrementihominis,False
formicigenerans,Dorea formicigenerans,56.96537820180995,Other,Dorea,,,,,Fumarate,C00122,Early_CRC,Dorea formicigenerans,False
goldsteinii,Parabacteroides goldsteinii,68.59879839720911,Other,Parabacteroides,,,,,Fumarate,C00122,Early_CRC,Parabacteroides goldsteinii,False
isourolithinifaciens,,,,,Ellagibacter,Ellagibacter isourolithinifaciens,0.0064490471639442,SVR,Fumarate,C00122,Early_CRC,Ellagibacter isourolithinifaciens,False
merdigallinarum,,,,,Flemingibacterium,Flemingibacterium merdigallinarum,0.0047200684842102,SVR,Fumarate,C00122,Early_CRC,Flemingibacterium merdigallinarum,False
oleiciplenus,Bacteroides oleiciplenus,68.97757971300138,Other,Bacteroides,,,,,Fumarate,C00122,Early_CRC,Bacteroides oleiciplenus,False
onderdonkii,,,,,Alistipes,Alistipes onderdonkii,0.0037186623966693,SVR,Fumarate,C00122,Early_CRC,Alistipes onderdonkii,False
plautii,Flavonifractor plautii,57.470026410189156,Other,Flavonifractor,,,,,Fumarate,C00122,Early_CRC,Flavonifractor plautii,False
pneumoniae,,,,,Klebsiella,Klebsiella pneumoniae,0.0036431203319838,SVR,Fumarate,C00122,Early_CRC,Klebsiella pneumoniae,False
quasipneumoniae,,,,,Klebsiella,Klebsiella quasipneumoniae,0.0044546393674202,SVR,Fumarate,C00122,Early_CRC,Klebsiella quasipneumoniae,False
sp000436475,,,,,Lachnospira,Lachnospira sp000436475,0.0046866233937131,SVR,Fumarate,C00122,Early_CRC,Lachnospira sp000436475,False
sp000436535,,,,,Lachnospira,Lachnospira sp000436535,0.0044046395161027,SVR,Fumarate,C00122,Early_CRC,Lachnospira sp000436535,False
sp000436835,,,,,Eubacterium_R,Eubacterium_R sp000436835,0.0045058136456549,SVR,Fumarate,C00122,Early_CRC,Eubacterium_R sp000436835,False
sp001274535,,,,,Leptotrichia_A,Leptotrichia_A sp001274535,0.0108161045154789,SVR,Fumarate,C00122,Early_CRC,Leptotrichia_A sp001274535,False
sp007293315,,,,,Alkalihalobacillus_A,Alkalihalobacillus_A sp007293315,0.0111859238728598,SVR,Fumarate,C00122,Early_CRC,Alkalihalobacillus_A sp007293315,False
sp013333035,,,,,CAG-793,CAG-793 sp013333035,0.0043260508073881,SVR,Fumarate,C00122,Early_CRC,CAG-793 sp013333035,False
sp900539755,,,,,Alistipes_A,Alistipes_A sp900539755,0.0070096859378468,SVR,Fumarate,C00122,Early_CRC,Alistipes_A sp900539755,False
sp900542265,,,,,CAG-1427,CAG-1427 sp900542265,0.0038274445381528,SVR,Fumarate,C00122,Early_CRC,CAG-1427 sp900542265,False
sp900542625,,,,,Fusobacterium_B,Fusobacterium_B sp900542625,0.007698245583069,SVR,Fumarate,C00122,Early_CRC,Fusobacterium_B sp900542625,False
sp900548365,,,,,Collinsella,Collinsella sp900548365,0.005379219661399,SVR,Fumarate,C00122,Early_CRC,Collinsella sp900548365,False
sp900753285,,,,,UMGS1696,UMGS1696 sp900753285,0.0077704650252285,SVR,Fumarate,C00122,Early_CRC,UMGS1696 sp900753285,False
sp900761765,,,,,Protoclostridium,Protoclostridium sp900761765,0.0062698867498176,SVR,Fumarate,C00122,Early_CRC,Protoclostridium sp900761765,False
sp910586665,,,,,Duncaniella,Duncaniella sp910586665,0.0036649900497786,SVR,Fumarate,C00122,Early_CRC,Duncaniella sp910586665,False
