feature,U,pval,effect_size,mean_g1,mean_g2,median_g1,median_g2,log2FC,qval,metabolite_name,pathway
C00423_trans-Cinnamate,6396.0,2.3306311498332205e-05,-0.3768162738133678,1.0240150008806241,0.5917251585725887,1.1629447042584555,0.7608878722428891,-0.791237707579991,0.0034959467247498307,C00423,Other
C00311_Isocitrate,6140.5,0.0003027327223919109,-0.3218168119685718,-0.5990837693628324,-1.1057745707405806,-1.2094514338280986,-1.405820090622551,0.8842276479148213,0.011352477089696658,C00311,Other
C05584_4-Hydroxy-3-methoxymandelate,6194.0,0.00018234735865323528,-0.33333333333333326,-0.3435587054361612,-0.6459513784523708,-0.6206803549281577,-0.7739174755031806,0.9108689375965816,0.011352477089696658,C05584,Other
C00093_Glycerophosphate,3125.5,0.00023935486725222086,0.3271983640081799,0.19111038105371578,0.490985037714589,0.0,0.5724986880429321,1.3612729087197886,0.011352477089696658,C00093,Other
C01118_o-Succinylhomoserine,6030.0,0.0008204168936706092,-0.29803035195350347,-0.2144321292017383,-0.5082036070073248,-0.5014772212901281,-0.7246883582126615,1.2448855323232504,0.024612506810118277,C01118,Other
C00383_Malonate,5953.5,0.0015729807774949645,-0.2815628027123023,0.43438949219478007,0.1451912980269954,0.46182155168224237,-0.032810405734541526,-1.5810342097427883,0.03932451943737411,C00383,Other
C05635_5-Hydroxyindoleacetate,5818.0,0.0046071604606842615,-0.2523947906576256,0.6991022545447233,0.4293456316973648,0.8275730645340202,0.5608512004191348,-0.7033639728591592,0.09872486701466274,C05635,Other
C02230_3-Methylguanine,5780.5,0.006094482083878631,-0.24432246259821322,-0.6222234045480529,-0.8638955672653955,-0.9067613477955061,-1.0800470448389843,0.47342426021368966,0.11427153907272432,C02230,Other
C09815_Benzamide,5674.5,0.01290423616644593,-0.2215046819502744,-0.20323760525840653,-0.4408217556732472,-0.5283075755277127,-0.696003131979178,1.1170280600331493,0.21507060277409884,C09815,Other
C05582_Homovanillate,5576.0,0.02455859399995208,-0.20030136691421796,0.2097621106492745,0.0426236481225393,0.008795122577692993,-0.11422794251623913,-2.299028097746293,0.23902188080019274,C05582,Other
C00024_Acetyl CoA,3710.0,0.02379897395102223,0.20137767732213974,-0.5971617387893722,-0.38146668628452646,-0.8318772479432603,-0.23179491720146017,-0.6465646626382043,0.23902188080019274,C00024,Other
C01551_Allantoin,5594.0,0.021918001436630308,-0.20417608438273604,0.4350003380860822,0.10837435827536351,-0.26735546565669666,-0.38596273982629514,-2.004993061499683,0.23902188080019274,C01551,Other
C01046_N-Methylglutamate,5565.0,0.026305716994010155,-0.19793348401679034,-0.5316685532294125,-0.7298946776716422,-0.2702464092339889,-0.708693398563422,0.45716116436881105,0.23902188080019274,C01046,Other
C00255_Riboflavin,5579.0,0.024100970018236034,-0.20094715315897105,-0.1953210044355303,-0.41868059105207334,0.0781405452985473,-0.5564332015459501,1.1000029418167887,0.23902188080019274,C00255,Other
_DCA,5551.0,0.028682625696023128,-0.19491981487460985,1.6083923771930524,1.4243319632367566,1.86516203880742,1.6920681782580476,-0.17533397511129017,0.23902188080019274,_DCA,Other
C07151_Metformin,5553.0,0.02833046537963232,-0.19535033903777843,-0.954817995998002,-1.0969177068680225,-1.1710693949230817,-1.330212160333446,0.20015763282052573,0.23902188080019274,C07151,Other
C00642_p-Hydroxyphenylacetate,3719.0,0.025181890248416442,0.1994403185878807,0.8959240568549957,1.0848106820932373,0.7533410405049688,1.0326273404363722,0.2759949372407109,0.23902188080019274,C00642,Other
C01879_5-Oxoproline,5642.0,0.016048378325670222,-0.21450866429878368,0.6994174271580491,0.4644769956799339,0.6577130854898072,0.5878170689096152,-0.5905465971078159,0.23902188080019274,C01879,Other
C00954_Indole-3-acetate,3776.5,0.0357650053870132,0.18706274889678187,-0.6030444424977935,-0.33294793816102003,-1.0138873445108791,-0.20931436002590176,-0.8569677240780968,0.24169989926473265,C00954,Other
2-Hydroxyoctanoate,5508.5,0.037060651220592336,-0.1857711764072758,-0.3184664175366833,-0.46890271942277145,-0.5604147277092532,-0.6761020901285316,0.558147400015617,0.24169989926473265,2-Hydroxyoctanoate,Other
C08277_Sebacate,5511.5,0.0364083104616483,-0.1864169626520289,-0.3170416618858967,-0.5385665364795007,-0.1939220116632967,-0.47625697902118014,0.7644521586392907,0.24169989926473265,C08277,Other
C00449_Saccharopine,5529.5,0.032691478998448875,-0.19029168012054676,0.0272098944105635,-0.20078181118261326,-0.05151302100645472,-0.1523046434611648,,0.24169989926473265,C00449,Other
C00475_Cytidine,5513.5,0.03597886013326215,-0.18684748681519747,-0.41657265330866666,-0.5363656934672024,-0.28120097807677125,-0.4034475074050283,0.3646488305522429,0.24169989926473265,C00475,Other
C02714_N-Acetylputrescine,3794.0,0.03965956775623506,0.18329566246905604,0.43225832410021814,0.6625115658523866,0.41412277443072165,0.6079910324433868,0.6160518931424839,0.24787229847646913,C02714,Other
C01042_N-Acetylaspartate,5485.0,0.042532961112674454,-0.18071251749004413,1.5178071477686788,1.3969550251326661,1.653346573357921,1.449404629841976,-0.11970291978047377,0.2532225433323232,C01042,Other
C00357_N-Acetylglucosamine 6-phosphate,3812.0,0.044033874573231234,0.17942094500053818,0.09580021909017311,0.26003616718809863,0.1665131843152896,0.3181270850523896,1.4406114248110626,0.2532225433323232,C00357,Other
C02378_6-Aminohexanoate,5473.0,0.04558005779981817,-0.17812937251103222,-0.6260148522401399,-0.8288609746736172,-0.5363894886503124,-0.9767439904261572,0.40493325291983645,0.2532225433323232,C02378,Other
C00242_Guanine,5445.0,0.05341256135874529,-0.17210203422667103,-0.3823981953396569,-0.5041835135033588,-0.32307952638473647,-0.5289751732214111,0.39887322983000234,0.2861387215647069,C00242,Other
C02115_Alpha-Methylserine,5417.5,0.06216893442388753,-0.16618232698310198,-0.16558317961107985,-0.3645347836917681,-0.24155045048412327,-0.389043559809263,1.1385003595750345,0.32156345391665964,C02115,Other
C03570_Mannosamine,5399.0,0.06870179944433084,-0.16219997847379175,-0.9425989885967047,-1.0105999726519679,-1.1292567007153722,-1.2327513275129478,0.10049600766720528,0.3435089972216542,C03570,Other
C02679_Dodecanoate,5392.0,0.07131809178792747,-0.1606931439027015,0.5616235414037145,0.37353521473736245,0.7073495003919252,0.43291852289712596,-0.5883591502655177,0.3450875409093265,C02679,Other
C00134_Putrescine,3905.0,0.07362500903766844,0.15940157141319555,1.290936598369547,1.4851023663515792,1.2780033682678462,1.5171584368885178,0.202144230113619,0.3451172298640708,C00134,Polyamine
C00314_Pyridoxine,5375.0,0.0780104546354934,-0.15703368851576793,-0.7707261503115383,-0.8914080034051566,-0.7619401923202784,-0.9954811850297792,0.20986757270086334,0.3545929756158791,C00314,Other
C05629_3-Phenylpropionate,3930.0,0.08389868229100883,0.15402001937358734,0.8746753643660201,1.0896077195721598,0.958715367187744,1.1903151178672782,0.31698926392644095,0.3595657812471807,C05629,Other
C01959_Taurocyamine,5362.5,0.08324837211672019,-0.15434291249596388,-0.303322206365826,-0.41387590966660853,-0.4844026910953735,-0.6385107871449814,0.4483471555940552,0.3595657812471807,C01959,Other
C16741_5-Hydroxylysine,3936.5,0.08675093516531983,0.15262081584328924,-0.057016164092905657,0.10062479081942013,-0.0007563135681289967,0.008451815618290004,,0.3614622298554993,C16741,Other
C00431_5-Aminovalerate,3949.0,0.09245884778957411,0.14993003982348507,2.0536015396169858,2.204132765131829,2.106176076932141,2.2274626734745686,0.1020548440498334,0.36496913601147674,C00431,Other
C00122_Fumarate,5342.5,0.09222271945179865,-0.15003767086427722,0.012700990659076558,-0.07973302029636331,-0.1578778449313345,-0.19704396022270654,,0.36496913601147674,C00122,Other
C02678_Dodecanedioate,5333.5,0.09650889071701026,-0.1481003121300184,0.07644561644456715,-0.109764434289077,0.24019216224276563,-0.003091443479357192,,0.3711880412192702,C02678,Other
C00417_cis-Aconitate,5293.5,0.11750498749019064,-0.13948982886664507,-0.4989489522749668,-0.5957161458388924,-0.788099673912397,-0.8163318956941422,0.25573284155611653,0.4309431131053251,C00417,Other
C00483_Tyramine,5293.0,0.1177911175821222,-0.13938219782585293,0.11400443310512125,-0.05147357037812323,0.035496019630528064,-0.06472756232106902,,0.4309431131053251,C00483,Other
C00630_Isobutyryl CoA,4007.0,0.12298622720902634,0.137444839091594,-0.6485869253481413,-0.5396110088906607,-0.7491191007301281,-0.5500165589979407,-0.26538015994438446,0.4392365257465226,C00630,Other
C01047_N-gamma-Ethylglutamine,5267.5,0.13297594542087837,-0.13389301474545268,-0.40061345183260355,-0.5362208518582683,-0.28039031443233253,-0.4294131948701885,0.4206164580673379,0.4533270866620854,C01047,Other
C10172_Proline betaine,5272.0,0.1301911727181318,-0.13486169411258198,0.10556023747201988,-0.005192065588239282,0.10771917440138434,-0.029961136187133697,,0.4533270866620854,C10172,Other
