met_name,met_base,taxon,pathway,mean_flux,std_flux,n_samples,taxon_full
Serine,ser_L,thermophilus,Other,80.16857122952828,10.35036972293212,6,Streptococcus thermophilus
Guanosine,gsn,ascorbata,Other,80.12893249807277,30.680660884850127,5,Kluyvera ascorbata
Fumarate,fum,hansenii,Other,80.0973424934619,20.29305369457632,3,Blautia hansenii
Thymidine,thymd,fergusonii,Other,80.0884273154827,,1,Escherichia fergusonii
Ornithine,orn,virosa,Polyamine,80.04387254560707,27.79709100901001,9,Butyricimonas virosa
Deoxyguanosine,dgsn,virosa,Other,80.038642876542,27.06064928020013,3,Butyricimonas virosa
Deoxyguanosine,dgsn,parasanguinis,Other,80.00523467324761,24.76733207206906,5,Streptococcus parasanguinis
Serine,ser_L,youngae,Other,80.00000000001958,,1,Citrobacter youngae
Water,h2o,pullicaecorum,Other,80.0,,1,Butyricicoccus pullicaecorum
CO2,co2,formigenes,Other,80.0,,1,Oxalobacter formigenes
CO2,co2,pullicaecorum,Other,80.0,,1,Butyricicoccus pullicaecorum
Deoxyadenosine,dad_2,iners,Other,80.0,,1,Lactobacillus iners
Formate,for,formigenes,Other,80.0,,1,Oxalobacter formigenes
Asparagine,asn_L,breve,Other,79.99999999999943,,1,Bifidobacterium breve
Uridine,uri,pallens,Other,79.98332378833463,33.07154439931054,5,Prevotella pallens
Alanine,ala_L,succinatiphilus,Amino Acid,79.94856511605062,33.64347950357243,4,Dialister succinatiphilus
