met_name,met_base,taxon,pathway,mean_flux,std_flux,n_samples,taxon_full
Uridine,uri,freundii,Other,92.55353303422211,1.0493664552344018,8,Citrobacter freundii
Deoxyguanosine,dgsn,desulfuricans,Other,92.48763371256817,5.192612799226899,2,Desulfovibrio desulfuricans
Methionine,met_L,bivia,Amino Acid,92.39091009070373,,1,Prevotella bivia
Leucine,leu_L,hydrophila,Amino Acid,92.37384829109068,6.440641348862129,2,Aeromonas hydrophila
Deoxyadenosine,dad_2,media,Other,92.35641327483415,,1,Aeromonas media
Hypoxanthine,hxan,durum,Other,92.33942586970068,2.6704147729986034,2,Corynebacterium durum
Ribose,rib_D,formicigenerans,Other,92.31583873280199,,1,Dorea formicigenerans
Uridine,uri,morganii,Other,92.22322713898055,,1,Morganella morganii
Glutamate,glu_L,tanakaei,Amino Acid,92.22244208711491,1.436247953854535,2,Collinsella tanakaei
Glutamine,gln_L,tannerae,Amino Acid,92.21507630170201,8.918693937087042,2,Alloprevotella tannerae
12ppd_S,12ppd_S,youngae,Other,92.08333333333263,,1,Citrobacter youngae
