Species,Rho_ornithine,Pval_ornithine,Rho_putrescine,Pval_putrescine,Rho_stage,Pval_stage
Fusobacterium_A mortiferum,0.1283802219428008,0.016723148114682212,0.3143631537498729,2.1339181860270466e-09,0.06542715269023239,0.2241075851380937
Fusobacterium_A ulcerans,0.08045469610816021,0.13472591283897178,0.31978937319166706,1.0852234756519089e-09,0.04364055613467001,0.4177181674159691
Fusobacterium_A necrogenes,0.13921054581569636,0.009417814119196946,0.32624580748222615,4.768484353651582e-10,0.058198091302236805,0.27964591726114313
Fusobacterium_A ulcerans_A,0.09326129775478073,0.0827798529508929,0.29887029632391077,1.366496936070831e-08,0.07415986359498555,0.16809242028708626
