met_name,met_base,taxon,pathway,mean_flux,std_flux,n_samples,taxon_full,da_early,da_adv
Nicotinate,nac,intestini,Other,7.829623668292446,5.105492353127317,18,Murimonas intestini,True,False
Water,h2o,bifidum,Other,7.0095479190386705,,1,Bifidobacterium bifidum,False,True
2obut,2obut,bifidum,Other,7.006859206188546,26.042343650260563,14,Bifidobacterium bifidum,False,True
Cytidine,cytd,bifidum,Other,6.795984897556463,3.1840081850643385,16,Bifidobacterium bifidum,False,True
N-Acetylglucosamine,acgam,intestinihominis,Other,6.716362413602717,,1,Barnesiella intestinihominis,True,False
Glucose,glc_D,bifidum,Other,6.498133956923648,5.307076301547917,3,Bifidobacterium bifidum,False,True
Fructose,fru,inulinivorans,Other,6.000515942266038,7.550833194841469,8,Roseburia inulinivorans,True,False
Histidine,his_L,hadrus,Other,4.615384615384301,,1,Anaerostipes hadrus,False,True
Thymidine,thymd,faecis,Other,3.903463407144239,,1,Blautia_A faecis,False,True
Histidine,his_L,prausnitzii,Other,3.3794679511583325,4.311931102821422,5,Faecalibacterium prausnitzii,True,False
Ornithine,orn,intestini,Polyamine,3.114815588044055,1.9359911413236328,3,Murimonas intestini,True,False
mqn8,mqn8,faecis,Other,2.195060982324177,1.1122442738971885,8,Blautia_A faecis,False,True
Maltose,malt,inulinivorans,Other,2.1152246568574022,1.2358075640994284,16,Roseburia inulinivorans,True,False
Galacturonate,galur,prausnitzii,Other,1.9826942700368475,2.0284682087455272,9,Faecalibacterium prausnitzii,True,False
Inosine,ins,onderdonkii,Other,1.2913617495474328,0.8530080812192531,24,Alistipes onderdonkii,True,False
gcald,gcald,bifidum,Other,1.199711199566317,4.844736233818557,17,Bifidobacterium bifidum,False,True
Inosine,ins,faecis,Other,1.0918421280683401,0.8772308403598259,26,Blautia_A faecis,False,True
CO2,co2,intestini,Other,1.0819890436229087,1.09794979222027,2,Murimonas intestini,True,False
meoh,meoh,prausnitzii,Other,0.9913471350184238,1.0142341043727636,9,Faecalibacterium prausnitzii,True,False
malttr,malttr,inulinivorans,Other,0.95890662111918,2.7298230176544336,67,Roseburia inulinivorans,True,False
Tyrosine,tyr_L,inulinivorans,Other,0.6795464242466018,,1,Roseburia inulinivorans,True,False
Glycerol,glyc,faecis,Other,0.6038678823185573,0.27566605800065386,26,Blautia_A faecis,False,True
gcald,gcald,hadrus,Other,0.28982127227167603,0.2681300684834056,34,Anaerostipes hadrus,False,True
Formate,for,hadrus,Other,0.2520408748148751,0.20101037714086487,31,Anaerostipes hadrus,False,True
gcald,gcald,faecis,Other,0.2226446740846908,0.11969495834094145,126,Blautia_A faecis,False,True
Glycerol,glyc,intestinihominis,Other,0.16370132042156094,0.1486377442602963,31,Barnesiella intestinihominis,True,False
Adenosine,adn,intestinihominis,Other,0.1275531612517626,0.19011343685371096,28,Barnesiella intestinihominis,True,False
Succinate,succ,intestini,Other,0.09025252199485367,0.058851303768430605,18,Murimonas intestini,True,False
Succinate,succ,bifidum,Other,0.024424059627402555,,1,Bifidobacterium bifidum,False,True
Oxygen,o2,intestini,Other,0.015042086999142286,0.00980855062807177,18,Murimonas intestini,True,False
Oxygen,o2,bifidum,Other,0.0123465747696052,0.005728784695883986,16,Bifidobacterium bifidum,False,True
