target,target_name,model,species,shap_importance,pathway
C00003_NAD+,C00003,XGBoost,Victivallis lenta,0.02458219975233078,Other
C00191_Glucuronate,C00191,LightGBM,Cryptobacteroides sp000431015,0.024566350338223207,Other
C00191_Glucuronate,C00191,LightGBM,Tannerella forsythia_A,0.02437842930423891,Other
3-Indoxyl sulfate,3-Indoxyl sulfate,LightGBM,Ruminiclostridium_E sp900539195,0.024000887190425223,Other
C00255_Riboflavin,C00255,RF,Fusobacterium sp000235465,0.02385211371953469,Other
C00346_Ethanolamine phosphate,C00346,RF,Ligilactobacillus salivarius,0.023727192280866206,Other
C00245_Taurine,C00245,RF,Clostridium_A leptum,0.023538199466418788,Other
C02155_Gly-Leu,C02155,XGBoost,Aphodousia sp900545335,0.023363571614027023,Other
C01551_Allantoin,C01551,SVR,Cryptobacterium curtum,0.0233547182281703,Other
C00314_Pyridoxine,C00314,RF,Spyradocola merdavium,0.02281781663167669,Other
3-Indoxyl sulfate,3-Indoxyl sulfate,LightGBM,Avispirillum faecium,0.022657010684879558,Other
C01551_Allantoin,C01551,SVR,Olsenella_I phocaeensis,0.022610718842955624,Other
C00423_trans-Cinnamate,C00423,RF,Pauljensenia turicensis,0.022244352518327088,Other
3-Indoxyl sulfate,3-Indoxyl sulfate,LightGBM,Clostridium_A leptum,0.021867397175161823,Other
C00092_G6P,C00092,LightGBM,Desulfovibrio desulfuricans_A,0.021615886495685476,Other
C00092_G6P,C00092,LightGBM,Barb7 sp001657575,0.02036691589557629,Other
C00191_Glucuronate,C00191,LightGBM,Leptotrichia_A sp001274535,0.02034660375869677,Other
C02679_Dodecanoate,C02679,SVR,Faecimonas sp905209745,0.02029341810408206,Other
C00024_Acetyl CoA,C00024,SVR,UBA4334 sp905235525,0.020208830002105202,Other
C01551_Allantoin,C01551,SVR,Actinomyces israelii,0.020079316756478928,Other
C00003_NAD+,C00003,XGBoost,Aveggerthella excrementigallinarum,0.020070979371666908,Other
C16741_5-Hydroxylysine,C16741,SVR,Alistipes shahii,0.019967686917067903,Other
C02155_Gly-Leu,C02155,XGBoost,CAG-488 sp000434055,0.019940085709095,Other
C00491_Cystine,C00491,SVR,Leptotrichia_A sp001274535,0.019760086119980938,Other
3-Indoxyl sulfate,3-Indoxyl sulfate,LightGBM,Alloscardovia omnicolens,0.019540205783261055,Other
C02155_Gly-Leu,C02155,XGBoost,Aminipila sp004103735,0.019467346370220184,Other
C00423_trans-Cinnamate,C00423,RF,Sediminibacterium sp902168225,0.019408606053780197,Other
C00092_G6P,C00092,LightGBM,Sodaliphilus sp018065665,0.019213233715171377,Other
C00003_NAD+,C00003,XGBoost,Paenibacillus tengchongensis,0.019204068928956985,Other
C00191_Glucuronate,C00191,LightGBM,UBA11524 sp000437595,0.01915518832174491,Other
