Species,Metabolite,kegg_id,genus,E1_shap_stable,E2_spearman,E3_kegg,E4_glasso,E5_mofa,E6_mediation,E7_within_stage,Evidence_score,Confidence,pathway
Ruminococcus_E bromii,C08277_Sebacate,C08277,Ruminococcus,False,True,False,False,False,False,False,1,Low-Medium (1),Other
UBA1206 sp000433115,C00695_Cholate,C00695,UBA1206,False,True,False,False,False,False,False,1,Low-Medium (1),Bile Acid
Faecousia sp000434635,C05629_3-Phenylpropionate,C05629,Faecousia,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Alistipes shahii,C05629_3-Phenylpropionate,C05629,Alistipes,False,True,False,False,False,False,False,1,Low-Medium (1),Other
CAG-127 sp900319515,C05332_Phenethylamine,C05332,CAG-127,False,True,False,False,False,False,False,1,Low-Medium (1),Other
CAG-103 sp900543625,"C03283_2,4-Diaminobutyrate",C03283,CAG-103,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Acetatifactor sp003447295,C00431_5-Aminovalerate,C00431,Acetatifactor,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Veillonella atypica,C08277_Sebacate,C08277,Veillonella,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Ruminococcus_E bromii,C02656_Pimelate,C02656,Ruminococcus,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Faecousia sp000434635,C02714_N-Acetylputrescine,C02714,Faecousia,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Acetatifactor sp003447295,C00055_CMP,C00055,Acetatifactor,False,True,False,False,False,False,False,1,Low-Medium (1),Nucleotide
Lachnospira sp003537285,C05332_Phenethylamine,C05332,Lachnospira,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Gemmiger qucibialis,C00398_Tryptamine,C00398,Gemmiger,False,True,False,False,False,False,False,1,Low-Medium (1),Indole / Tryptophan
ER4 sp900552015,C02656_Pimelate,C02656,ER4,False,True,False,False,False,False,False,1,Low-Medium (1),Other
CAG-103 sp900757655,C00695_Cholate,C00695,CAG-103,False,True,False,False,False,False,False,1,Low-Medium (1),Bile Acid
Gemmiger sp900540595,C00398_Tryptamine,C00398,Gemmiger,False,True,False,False,False,False,False,1,Low-Medium (1),Indole / Tryptophan
Alangreenwoodia gallinarii,C00803_Valerate,C00803,Alangreenwoodia,False,True,False,False,False,False,False,1,Low-Medium (1),Other
ER4 sp000765235,C01042_N-Acetylaspartate,C01042,ER4,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Scatavimonas merdipullorum,C08277_Sebacate,C08277,Scatavimonas,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Alistipes onderdonkii,"C03283_2,4-Diaminobutyrate",C03283,Alistipes,False,True,False,False,False,False,False,1,Low-Medium (1),Other
ER4 sp900552015,C00055_CMP,C00055,ER4,False,True,False,False,False,False,False,1,Low-Medium (1),Nucleotide
Acetatifactor intestinalis,C02656_Pimelate,C02656,Acetatifactor,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Faecalibacterium prausnitzii_D,C00398_Tryptamine,C00398,Faecalibacterium,False,True,False,False,False,False,False,1,Low-Medium (1),Indole / Tryptophan
ER4 sp000765235,C06104_Adipate,C06104,ER4,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Alectryocaccomicrobium excrementavium,C00408_Pipecolate,C00408,Alectryocaccomicrobium,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Acetatifactor sp003447295,C00398_Tryptamine,C00398,Acetatifactor,False,True,False,False,False,False,False,1,Low-Medium (1),Indole / Tryptophan
Lachnospira eligens,C00055_CMP,C00055,Lachnospira,False,True,False,False,False,False,False,1,Low-Medium (1),Nucleotide
Ventricola intestinavium,C02714_N-Acetylputrescine,C02714,Ventricola,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Scatavimonas merdipullorum,C02714_N-Acetylputrescine,C02714,Scatavimonas,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Faecousia sp000434635,C00134_Putrescine,C00134,Faecousia,False,True,False,False,False,False,False,1,Low-Medium (1),Polyamine
Acetatifactor sp003447295,C02656_Pimelate,C02656,Acetatifactor,False,True,False,False,False,False,False,1,Low-Medium (1),Other
UBA3855 sp017460955,C00134_Putrescine,C00134,UBA3855,False,True,False,False,False,False,False,1,Low-Medium (1),Polyamine
Avimicrobium caecorum,C00431_5-Aminovalerate,C00431,Avimicrobium,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Avimicrobium caecorum,C00134_Putrescine,C00134,Avimicrobium,False,True,False,False,False,False,False,1,Low-Medium (1),Polyamine
Alangreenwoodia gallinarii,C06103_6-Hydroxyhexanoate,C06103,Alangreenwoodia,False,True,False,False,False,False,False,1,Low-Medium (1),Other
UBA737 sp902762875,C00134_Putrescine,C00134,UBA737,False,True,False,False,False,False,False,1,Low-Medium (1),Polyamine
Faecalibacterium sp900539945,C05629_3-Phenylpropionate,C05629,Faecalibacterium,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Avispirillum faecium,C06103_6-Hydroxyhexanoate,C06103,Avispirillum,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Faecalibacterium prausnitzii,C00483_Tyramine,C00483,Faecalibacterium,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Alangreenwoodia gallinarii,C00431_5-Aminovalerate,C00431,Alangreenwoodia,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Scatavimonas merdipullorum,C00134_Putrescine,C00134,Scatavimonas,False,True,False,False,False,False,False,1,Low-Medium (1),Polyamine
Faecalibacterium prausnitzii,C00695_Cholate,C00695,Faecalibacterium,False,True,False,False,False,False,False,1,Low-Medium (1),Bile Acid
Acetatifactor intestinalis,C00398_Tryptamine,C00398,Acetatifactor,False,True,False,False,False,False,False,1,Low-Medium (1),Indole / Tryptophan
Avispirillum faecium,C08277_Sebacate,C08277,Avispirillum,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Faecousia sp000434635,C00695_Cholate,C00695,Faecousia,False,True,False,False,False,False,False,1,Low-Medium (1),Bile Acid
Faecousia sp003525905,C00695_Cholate,C00695,Faecousia,False,True,False,False,False,False,False,1,Low-Medium (1),Bile Acid
UMGS693 sp900544555,C08277_Sebacate,C08277,UMGS693,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Faecalibacterium sp900539945,C00695_Cholate,C00695,Faecalibacterium,False,True,False,False,False,False,False,1,Low-Medium (1),Bile Acid
Aphodomorpha sp900549955,C02714_N-Acetylputrescine,C02714,Aphodomorpha,False,True,False,False,False,False,False,1,Low-Medium (1),Other
UBA1685 sp900546845,C00431_5-Aminovalerate,C00431,UBA1685,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Ruminococcus_D bicirculans,C00134_Putrescine,C00134,Ruminococcus,False,True,False,False,False,False,False,1,Low-Medium (1),Polyamine
Faecalibacterium prausnitzii_C,C00695_Cholate,C00695,Faecalibacterium,False,True,False,False,False,False,False,1,Low-Medium (1),Bile Acid
CAG-488 sp000434055,C00431_5-Aminovalerate,C00431,CAG-488,False,True,False,False,False,False,False,1,Low-Medium (1),Other
ER4 sp900552015,C00431_5-Aminovalerate,C00431,ER4,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Alistipes putredinis,"C03283_2,4-Diaminobutyrate",C03283,Alistipes,False,True,False,False,False,False,False,1,Low-Medium (1),Other
CAG-127 sp900319515,C00398_Tryptamine,C00398,CAG-127,False,True,False,False,False,False,False,1,Low-Medium (1),Indole / Tryptophan
Alangreenwoodia gallinarii,C05629_3-Phenylpropionate,C05629,Alangreenwoodia,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Faecalibacterium prausnitzii_D,C00695_Cholate,C00695,Faecalibacterium,False,True,False,False,False,False,False,1,Low-Medium (1),Bile Acid
ER4 sp000765235,C01585_Hexanoate,C01585,ER4,False,True,False,False,False,False,False,1,Low-Medium (1),Other
CAG-488 sp000434055,C00134_Putrescine,C00134,CAG-488,False,True,False,False,False,False,False,1,Low-Medium (1),Polyamine
Eubacterium_F sp003491505,C05629_3-Phenylpropionate,C05629,Eubacterium,False,True,False,False,False,False,False,1,Low-Medium (1),Other
CAG-170 sp000432135,C05629_3-Phenylpropionate,C05629,CAG-170,False,True,False,False,False,False,False,1,Low-Medium (1),Other
CAG-170 sp000432135,C06103_6-Hydroxyhexanoate,C06103,CAG-170,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Ruminococcus_D bicirculans,C00398_Tryptamine,C00398,Ruminococcus,False,True,False,False,False,False,False,1,Low-Medium (1),Indole / Tryptophan
Alistipes shahii,C06104_Adipate,C06104,Alistipes,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Galloscillospira_B excrementipullorum,C00431_5-Aminovalerate,C00431,Galloscillospira,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Scatomorpha intestinavium,C00431_5-Aminovalerate,C00431,Scatomorpha,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Lachnospira sp003451515,C05629_3-Phenylpropionate,C05629,Lachnospira,False,True,False,False,False,False,False,1,Low-Medium (1),Other
CAG-103 sp000432375,C00695_Cholate,C00695,CAG-103,False,True,False,False,False,False,False,1,Low-Medium (1),Bile Acid
CAG-103 sp900543625,C00055_CMP,C00055,CAG-103,False,True,False,False,False,False,False,1,Low-Medium (1),Nucleotide
Lachnospira eligens_A,C05629_3-Phenylpropionate,C05629,Lachnospira,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Alangreenwoodia gallinarii,C02656_Pimelate,C02656,Alangreenwoodia,False,True,False,False,False,False,False,1,Low-Medium (1),Other
CAG-170 sp000432135,C02656_Pimelate,C02656,CAG-170,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Acetatifactor sp003447295,C01046_N-Methylglutamate,C01046,Acetatifactor,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Erysipelatoclostridium ramosum,C00364_dTMP,C00364,Erysipelatoclostridium,False,True,False,False,False,False,False,1,Low-Medium (1),Other
UBA5905 sp900763035,C01672_Cadaverine,C01672,UBA5905,False,True,False,False,False,False,False,1,Low-Medium (1),Polyamine
CAG-170 sp000432135,C00055_CMP,C00055,CAG-170,False,True,False,False,False,False,False,1,Low-Medium (1),Nucleotide
UBA5905 sp900763035,C06104_Adipate,C06104,UBA5905,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Ruminococcus_C sp000980705,C00398_Tryptamine,C00398,Ruminococcus,False,True,False,False,False,False,False,1,Low-Medium (1),Indole / Tryptophan
Acetatifactor intestinalis,C01046_N-Methylglutamate,C01046,Acetatifactor,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Alistipes shahii,C02656_Pimelate,C02656,Alistipes,False,True,False,False,False,False,False,1,Low-Medium (1),Other
CAG-488 sp000434055,C02656_Pimelate,C02656,CAG-488,False,True,False,False,False,False,False,1,Low-Medium (1),Other
ER4 sp900552015,C01046_N-Methylglutamate,C01046,ER4,False,True,False,False,False,False,False,1,Low-Medium (1),Other
ER4 sp900552015,C00803_Valerate,C00803,ER4,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Avispirillum faecium,"C03283_2,4-Diaminobutyrate",C03283,Avispirillum,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Faecalibacterium sp900539945,C00483_Tyramine,C00483,Faecalibacterium,False,True,False,False,False,False,False,1,Low-Medium (1),Other
UBA5905 sp900763035,C06103_6-Hydroxyhexanoate,C06103,UBA5905,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Lachnospira eligens,C01046_N-Methylglutamate,C01046,Lachnospira,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Ruminococcus_D bicirculans,C00695_Cholate,C00695,Ruminococcus,False,True,False,False,False,False,False,1,Low-Medium (1),Bile Acid
Galloscillospira_B excrementipullorum,C00408_Pipecolate,C00408,Galloscillospira,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Ruminococcus_D bicirculans,C00431_5-Aminovalerate,C00431,Ruminococcus,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Alistipes putredinis,C05629_3-Phenylpropionate,C05629,Alistipes,False,True,False,False,False,False,False,1,Low-Medium (1),Other
ER4 sp000765235,C01046_N-Methylglutamate,C01046,ER4,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Faecivivens stercoravium,C00055_CMP,C00055,Faecivivens,False,True,False,False,False,False,False,1,Low-Medium (1),Nucleotide
Faecalibacterium prausnitzii_C,C00483_Tyramine,C00483,Faecalibacterium,False,True,False,False,False,False,False,1,Low-Medium (1),Other
UBA5905 sp900763035,C01046_N-Methylglutamate,C01046,UBA5905,False,True,False,False,False,False,False,1,Low-Medium (1),Other
CAG-170 sp000432135,C00364_dTMP,C00364,CAG-170,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Faecousia sp003525905,C06104_Adipate,C06104,Faecousia,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Barnesiella intestinihominis,C00364_dTMP,C00364,Barnesiella,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Gemmiger sp900540595,C05629_3-Phenylpropionate,C05629,Gemmiger,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Alistipes putredinis,C06104_Adipate,C06104,Alistipes,False,True,False,False,False,False,False,1,Low-Medium (1),Other
ER4 sp000765235,C01921_Glycocholate,C01921,ER4,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Faecousia sp003525905,C00576_Betaine aldehyde,C00576,Faecousia,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Veillonella atypica,C00719_Betaine,C00719,Veillonella,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Alistipes onderdonkii,C06104_Adipate,C06104,Alistipes,False,True,False,False,False,False,False,1,Low-Medium (1),Other
CAG-127 sp900319515,C05629_3-Phenylpropionate,C05629,CAG-127,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Faecivivens stercoravium,C06104_Adipate,C06104,Faecivivens,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Lachnospira sp003537285,C00055_CMP,C00055,Lachnospira,False,True,False,False,False,False,False,1,Low-Medium (1),Nucleotide
CAG-1427 sp900554685,C02656_Pimelate,C02656,CAG-1427,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Lachnospira eligens,C05629_3-Phenylpropionate,C05629,Lachnospira,False,True,False,False,False,False,False,1,Low-Medium (1),Other
CAG-103 sp900543625,C06103_6-Hydroxyhexanoate,C06103,CAG-103,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Ruminococcus_E bromii_B,C05629_3-Phenylpropionate,C05629,Ruminococcus,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Alistipes onderdonkii,C02656_Pimelate,C02656,Alistipes,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Klebsiella pneumoniae,"C00986_1,3-Diaminopropane",C00986,Klebsiella,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Faecousia sp000434635,C06103_6-Hydroxyhexanoate,C06103,Faecousia,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Aphodomorpha sp900549955,C00431_5-Aminovalerate,C00431,Aphodomorpha,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Faecousia sp003525905,C17714_Heptanoate,C17714,Faecousia,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Avichristensenella intestinipullorum,C00408_Pipecolate,C00408,Avichristensenella,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Alistipes putredinis,C00489_Glutarate,C00489,Alistipes,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Lachnospira sp003451515,C00055_CMP,C00055,Lachnospira,False,True,False,False,False,False,False,1,Low-Medium (1),Nucleotide
UBA5905 sp900763035,C00489_Glutarate,C00489,UBA5905,False,True,False,False,False,False,False,1,Low-Medium (1),Other
CAG-127 sp900319515,"C03283_2,4-Diaminobutyrate",C03283,CAG-127,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Faecousia sp000434635,C00055_CMP,C00055,Faecousia,False,True,False,False,False,False,False,1,Low-Medium (1),Nucleotide
CAG-170 sp000432135,C01042_N-Acetylaspartate,C01042,CAG-170,False,True,False,False,False,False,False,1,Low-Medium (1),Other
ER4 sp000765235,C17714_Heptanoate,C17714,ER4,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Clostridium_A leptum,C00695_Cholate,C00695,Clostridium,False,True,False,False,False,False,False,1,Low-Medium (1),Bile Acid
UBA1206 sp000433115,C02656_Pimelate,C02656,UBA1206,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Lachnospira eligens,C02656_Pimelate,C02656,Lachnospira,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Veillonella atypica,C00489_Glutarate,C00489,Veillonella,False,True,False,False,False,False,False,1,Low-Medium (1),Other
S5-A14a sp000758905,C00388_Histamine,C00388,S5-A14a,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Faecousia sp017548065,C06103_6-Hydroxyhexanoate,C06103,Faecousia,False,True,False,False,False,False,False,1,Low-Medium (1),Other
ER4 sp900552015,C01042_N-Acetylaspartate,C01042,ER4,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Erysipelatoclostridium ramosum,C00803_Valerate,C00803,Erysipelatoclostridium,False,True,False,False,False,False,False,1,Low-Medium (1),Other
ER4 sp900552015,C05145_3-Aminoisobutyrate,C05145,ER4,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Alistipes_A ihumii,"C03283_2,4-Diaminobutyrate",C03283,Alistipes,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Avimicrobium caecorum,C01042_N-Acetylaspartate,C01042,Avimicrobium,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Faecousia sp003525905,C06103_6-Hydroxyhexanoate,C06103,Faecousia,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Erysipelatoclostridium ramosum,C02656_Pimelate,C02656,Erysipelatoclostridium,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Escherichia coli,C00152_Asn,C00152,Escherichia,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Alistipes shahii,C05145_3-Aminoisobutyrate,C05145,Alistipes,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Anaerostipes caccae,C05629_3-Phenylpropionate,C05629,Anaerostipes,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Ruminococcus_C callidus,C02656_Pimelate,C02656,Ruminococcus,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Ruminiclostridium_E siraeum,C05135_4-(beta-Acetylaminoethyl)imidazole,C05135,Ruminiclostridium,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Aphodomorpha sp900549955,C00695_Cholate,C00695,Aphodomorpha,False,True,False,False,False,False,False,1,Low-Medium (1),Bile Acid
CAG-103 sp900757655,"C03283_2,4-Diaminobutyrate",C03283,CAG-103,False,True,False,False,False,False,False,1,Low-Medium (1),Other
CAG-103 sp900543625,C05629_3-Phenylpropionate,C05629,CAG-103,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Alangreenwoodia gallinarii,"C03283_2,4-Diaminobutyrate",C03283,Alangreenwoodia,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Veillonella parvula_A,C00803_Valerate,C00803,Veillonella,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Veillonella parvula_A,C06104_Adipate,C06104,Veillonella,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Avimicrobium caecorum,C00489_Glutarate,C00489,Avimicrobium,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Ruminococcus_D bicirculans,C01672_Cadaverine,C01672,Ruminococcus,False,True,False,False,False,False,False,1,Low-Medium (1),Polyamine
UBA5905 sp900763035,"C03283_2,4-Diaminobutyrate",C03283,UBA5905,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Alistipes putredinis,C06103_6-Hydroxyhexanoate,C06103,Alistipes,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Limivicinus faecipullorum,C00408_Pipecolate,C00408,Limivicinus,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Ventricola intestinavium,C02656_Pimelate,C02656,Ventricola,False,True,False,False,False,False,False,1,Low-Medium (1),Other
ER4 sp900552015,C17714_Heptanoate,C17714,ER4,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Fimimonas sp003537755,"C03283_2,4-Diaminobutyrate",C03283,Fimimonas,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Lachnospira sp003537285,C01046_N-Methylglutamate,C01046,Lachnospira,False,True,False,False,False,False,False,1,Low-Medium (1),Other
ER4 sp000765235,C00576_Betaine aldehyde,C00576,ER4,False,True,False,False,False,False,False,1,Low-Medium (1),Other
UBA5905 sp900763035,C00695_Cholate,C00695,UBA5905,False,True,False,False,False,False,False,1,Low-Medium (1),Bile Acid
Erysipelatoclostridium ramosum,C00055_CMP,C00055,Erysipelatoclostridium,False,True,False,False,False,False,False,1,Low-Medium (1),Nucleotide
Alistipes shahii,2-Hydroxypentanoate,2-Hydroxypentanoate,Alistipes,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Alistipes shahii,C00489_Glutarate,C00489,Alistipes,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Scatavimonas sp900540275,C00695_Cholate,C00695,Scatavimonas,False,True,False,False,False,False,False,1,Low-Medium (1),Bile Acid
Veillonella atypica,C00803_Valerate,C00803,Veillonella,False,True,False,False,False,False,False,1,Low-Medium (1),Other
ER4 sp900552015,C00576_Betaine aldehyde,C00576,ER4,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Alistipes onderdonkii,C17714_Heptanoate,C17714,Alistipes,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Escherichia sp002965065,C00152_Asn,C00152,Escherichia,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Clostridium_A leptum,C00803_Valerate,C00803,Clostridium,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Acetatifactor sp003447295,C06103_6-Hydroxyhexanoate,C06103,Acetatifactor,False,True,False,False,False,False,False,1,Low-Medium (1),Other
CAG-103 sp900543625,C00576_Betaine aldehyde,C00576,CAG-103,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Erysipelatoclostridium ramosum,"C03283_2,4-Diaminobutyrate",C03283,Erysipelatoclostridium,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Barnesiella intestinihominis,C00803_Valerate,C00803,Barnesiella,False,True,False,False,False,False,False,1,Low-Medium (1),Other
CAG-103 sp000432375,"C03283_2,4-Diaminobutyrate",C03283,CAG-103,False,True,False,False,False,False,False,1,Low-Medium (1),Other
ER4 sp900552015,C00364_dTMP,C00364,ER4,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Faecivivens stercoravium,C00300_Creatine,C00300,Faecivivens,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Lachnospira sp003451515,C00364_dTMP,C00364,Lachnospira,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Acetatifactor intestinalis,C06103_6-Hydroxyhexanoate,C06103,Acetatifactor,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Clostridium_A leptum,C01042_N-Acetylaspartate,C01042,Clostridium,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Lachnospira eligens,C00364_dTMP,C00364,Lachnospira,False,True,False,False,False,False,False,1,Low-Medium (1),Other
ER4 sp900552015,C00398_Tryptamine,C00398,ER4,False,True,False,False,False,False,False,1,Low-Medium (1),Indole / Tryptophan
ER4 sp900552015,C00785_Urocanate,C00785,ER4,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Bifidobacterium pseudocatenulatum,C02918_1-Methylnicotinamide,C02918,Bifidobacterium,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Alangreenwoodia gallinarii,C00576_Betaine aldehyde,C00576,Alangreenwoodia,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Acetatifactor sp003447295,C00483_Tyramine,C00483,Acetatifactor,False,True,False,False,False,False,False,1,Low-Medium (1),Other
ER4 sp900552015,C06104_Adipate,C06104,ER4,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Faecivivens stercoravium,C00408_Pipecolate,C00408,Faecivivens,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Alangreenwoodia gallinarii,C01672_Cadaverine,C01672,Alangreenwoodia,False,True,False,False,False,False,False,1,Low-Medium (1),Polyamine
CAG-170 sp000432135,C01585_Hexanoate,C01585,CAG-170,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Alistipes shahii,C00364_dTMP,C00364,Alistipes,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Ruminococcus_E bromii_B,C00055_CMP,C00055,Ruminococcus,False,True,False,False,False,False,False,1,Low-Medium (1),Nucleotide
ER4 sp000765235,C06103_6-Hydroxyhexanoate,C06103,ER4,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Alangreenwoodia gallinarii,C01046_N-Methylglutamate,C01046,Alangreenwoodia,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Fusobacterium_A mortiferum,C00079_Phe,C00079,Fusobacterium,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Scatomorpha intestinavium,C01046_N-Methylglutamate,C01046,Scatomorpha,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Sutterella wadsworthensis,C01672_Cadaverine,C01672,Sutterella,False,True,False,False,False,False,False,1,Low-Medium (1),Polyamine
Lachnospira eligens,C00630_Isobutyryl CoA,C00630,Lachnospira,False,True,False,False,False,False,False,1,Low-Medium (1),Other
CAG-170 sp000432135,C05145_3-Aminoisobutyrate,C05145,CAG-170,False,True,False,False,False,False,False,1,Low-Medium (1),Other
CAG-41 sp900066215,C00398_Tryptamine,C00398,CAG-41,False,True,False,False,False,False,False,1,Low-Medium (1),Indole / Tryptophan
ER4 sp000765235,C00398_Tryptamine,C00398,ER4,False,True,False,False,False,False,False,1,Low-Medium (1),Indole / Tryptophan
Acetatifactor intestinalis,C17714_Heptanoate,C17714,Acetatifactor,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Acetatifactor intestinalis,C01585_Hexanoate,C01585,Acetatifactor,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Acetatifactor sp003447295,C01585_Hexanoate,C01585,Acetatifactor,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Gemmiger sp900540595,C00483_Tyramine,C00483,Gemmiger,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Escherichia coli,C06104_Adipate,C06104,Escherichia,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Scatomorpha stercorigallinarum,C00489_Glutarate,C00489,Scatomorpha,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Alistipes putredinis,C01585_Hexanoate,C01585,Alistipes,False,True,False,False,False,False,False,1,Low-Medium (1),Other
ER4 sp000765235,C05122_Taurocholate,C05122,ER4,False,True,False,False,False,False,False,1,Low-Medium (1),Bile Acid
Scatavimonas merdipullorum,C00847_4-Pyridoxate,C00847,Scatavimonas,False,True,False,False,False,False,False,1,Low-Medium (1),Other
ER4 sp000765235,C08262_Isovalerate,C08262,ER4,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Faecousia sp000434635,C00364_dTMP,C00364,Faecousia,False,True,False,False,False,False,False,1,Low-Medium (1),Other
UBA5905 sp900763035,C00847_4-Pyridoxate,C00847,UBA5905,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Acetatifactor sp003447295,C17714_Heptanoate,C17714,Acetatifactor,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Acetatifactor sp003447295,C00489_Glutarate,C00489,Acetatifactor,False,True,False,False,False,False,False,1,Low-Medium (1),Other
CAG-103 sp900543625,C05145_3-Aminoisobutyrate,C05145,CAG-103,False,True,False,False,False,False,False,1,Low-Medium (1),Other
ER4 sp900552015,C01585_Hexanoate,C01585,ER4,False,True,False,False,False,False,False,1,Low-Medium (1),Other
