feature,U,pval,effect_size,mean_g1,mean_g2,median_g1,median_g2,log2FC,qval,metabolite_name,pathway
C07151_Metformin,2375.0,0.00019621764732932873,0.3438320209973753,-1.250777844468717,-0.954817995998002,-1.3622098104601232,-1.1710693949230817,-0.3895279068388206,0.010912736019234466,C07151,Other
C00423_trans-Cinnamate,2379.5,0.00020699153974450995,0.3425887553529493,0.6870173501593958,1.0240150008806241,0.8265015841992231,1.1629447042584555,0.575818410055442,0.010912736019234466,C00423,Other
C00122_Fumarate,2384.0,0.00021825472038468932,0.3413454897085233,-0.21784290136213413,0.012700990659076558,-0.3573062568126082,-0.1578778449313345,,0.010912736019234466,C00122,Other
C01042_N-Acetylaspartate,2582.0,0.0019081951473982712,0.28664180135377815,1.2837967122097007,1.5178071477686788,1.3777297884463235,1.653346573357921,0.2415717223399737,0.07155731802743516,C01042,Other
C01959_Taurocyamine,2666.5,0.004354699289100916,0.2632960353640006,-0.5190704552936063,-0.303322206365826,-0.6527744181004375,-0.4844026910953735,-0.7750792537885128,0.13064097867302749,C01959,Other
C08262_Isovalerate,2693.0,0.005573135758160414,0.2559745821246029,1.7282532643378796,1.955616201828199,1.919309497943061,2.1858631676133093,0.17830861218508148,0.13932839395401034,C08262,Other
C16741_5-Hydroxylysine,4477.5,0.010262818928124706,-0.23704931620389558,0.2545860903640671,-0.057016164092905657,0.04751466569300056,-0.0007563135681289967,,0.15028826806856876,C16741,Other
C00024_Acetyl CoA,4514.5,0.007414556127987971,-0.24727172261362074,-0.30730964760839546,-0.5971617387893722,-0.11020809354013905,-0.8318772479432603,0.958428675406785,0.15028826806856876,C00024,Other
C08277_Sebacate,2773.5,0.011375818779621951,0.23373394115209278,-0.583260485396049,-0.3170416618858967,-0.539414521672724,-0.1939220116632967,-0.8794679053166747,0.15028826806856876,C08277,Other
C00346_Ethanolamine phosphate,2743.5,0.00877304032468418,0.2420223787815997,-0.793242372492436,-0.7056707302034279,-0.9261003554555745,-0.7988562661327505,-0.16876657288986732,0.15028826806856876,C00346,Other
C01015_Hydroxyproline,4459.0,0.012023061445485502,-0.231938112999033,0.30437007772070723,0.14322311476274371,0.23271390745568277,0.153238286629358,-1.0875621829690636,0.15028826806856876,C01015,Other
C01879_5-Oxoproline,2751.0,0.00936932928362832,0.23995026937422292,0.477453380530461,0.6994174271580491,0.5183105093701579,0.6577130854898072,0.5507938701936409,0.15028826806856876,C01879,Other
C00086_Urea,2846.0,0.02067309752525965,0.21370355021411802,1.5961603166753648,1.7996924140698634,1.4296988690209969,1.67910008144526,0.17314479449013706,0.1632086646731025,C00086,Other
C02378_6-Aminohexanoate,2841.5,0.019944860678082155,0.21494681585854403,-0.8673053227516363,-0.6260148522401399,-1.1443544613523113,-0.5363894886503124,-0.470343078597544,0.1632086646731025,C02378,Other
C01551_Allantoin,2827.5,0.01782225960578853,0.2188147534189805,0.18088491767761222,0.4350003380860822,-0.4245974575418082,-0.26735546565669666,1.2659443976166742,0.1632086646731025,C01551,Other
_DCA,2815.0,0.016097494329243615,0.22226826909794173,1.4771699454795806,1.6083923771930524,1.6046055386010005,1.86516203880742,0.12278358882438555,0.1632086646731025,_DCA,Other
C02037_Gly-Gly,2805.5,0.014885176666974271,0.22489294101395219,-0.7199755221371175,-0.5813586767222272,-0.9115486972353727,-0.8233123026099245,-0.30851933124678754,0.1632086646731025,C02037,Other
C00879_Mucate,2826.0,0.017605873802107843,0.21922917530045583,-0.3576310494965872,-0.2936053225768982,-0.5118253883768973,-0.3460387250763346,-0.28459387541305586,0.1632086646731025,C00879,Other
C00630_Isobutyryl CoA,4398.5,0.01978582124327335,-0.2152230971128608,-0.40981146379942474,-0.6485869253481413,-0.35837726368715495,-0.7491191007301281,0.6623396006383908,0.1632086646731025,C00630,Other
C00491_Cystine,2861.0,0.02326707249114141,0.20955933139936456,-0.8580810967065503,-0.7435363393894782,-1.079318680051958,-0.9695926943670118,-0.20671074875193024,0.16619337493672434,C00491,Other
